	Chr	Start	End	Count	eccID	Length
2045	chr1	18946870	18947472	12	2046	603
2068	chr1	19314128	19314854	31	2069	727
2076	chr1	19343891	19344569	37	2077	679
2077	chr1	19352362	19353143	34	2078	782
2081	chr1	19376309	19376637	55	2082	329
2098	chr1	19645465	19646733	15	2099	1269
2101	chr1	19670570	19670919	105	2102	350
2104	chr1	19674711	19676205	16	2105	1495
2106	chr1	19674712	19676205	42	2107	1494
2113	chr1	19769064	19769446	14	2114	383
2114	chr1	19770389	19770972	54	2115	584
2119	chr1	19824046	19824272	36	2120	227
2120	chr1	19881349	19883683	26	2121	2335
2132	chr1	20002913	20004311	16	2133	1399
2136	chr1	20090336	20094218	39	2137	3883
2142	chr1	20180502	20182508	34	2143	2007
2145	chr1	20211186	20212688	56	2146	1503
2160	chr1	20397595	20397961	23	2161	367
2164	chr1	20404475	20405275	118	2165	801
2165	chr1	20443341	20444648	30	2166	1308
2172	chr1	20497567	20498594	15	2173	1028
2178	chr1	20657365	20658381	13	2179	1017
2182	chr1	20662960	20664588	19	2183	1629
2209	chr1	21246866	21248389	21	2210	1524
2211	chr1	21255448	21255792	19	2212	345
2212	chr1	21264029	21264816	116	2213	788
2215	chr1	21293935	21294661	127	2216	727
2223	chr1	21324792	21325977	57	2224	1186
2226	chr1	21341223	21342479	34	2227	1257
2227	chr1	21355036	21356594	11	2228	1559
2247	chr1	21522183	21522685	12	2248	503
2260	chr1	21590598	21591205	86	2261	608
2266	chr1	21639345	21640711	23	2267	1367
2271	chr1	21664973	21665924	29	2272	952
2272	chr1	21669847	21671438	44	2273	1592
2278	chr1	21836890	21837942	14	2279	1053
2283	chr1	21879191	21880298	27	2284	1108
2285	chr1	21906815	21908476	33	2286	1662
2301	chr1	21973366	21974763	26	2302	1398
2307	chr1	22029910	22030832	27	2308	923
2315	chr1	22123222	22124030	49	2316	809
2321	chr1	22162515	22163797	40	2322	1283
2323	chr1	22163107	22163877	39	2324	771
2335	chr1	22349902	22350400	79	2336	499
2337	chr1	22373459	22376330	63	2338	2872
2345	chr1	22534827	22537725	48	2346	2899
2348	chr1	22550943	22551319	38	2349	377
2360	chr1	22644276	22644622	43	2361	347
2362	chr1	22665493	22666010	50	2363	518
2363	chr1	22670659	22671183	52	2364	525
2366	chr1	22681301	22682152	10	2367	852
2377	chr1	22731644	22734207	20	2378	2564
2382	chr1	22763915	22766130	19	2383	2216
2386	chr1	22772073	22773635	22	2387	1563
2390	chr1	22782512	22784725	39	2391	2214
2392	chr1	22787227	22788296	10	2393	1070
2394	chr1	22794187	22795349	52	2395	1163
2400	chr1	22814754	22815459	80	2401	706
2405	chr1	22843100	22844896	36	2406	1797
2421	chr1	23091520	23092073	26	2422	554
2429	chr1	23215046	23215955	47	2430	910
2430	chr1	23216758	23218213	26	2431	1456
2437	chr1	23400858	23402307	20	2438	1450
2451	chr1	23506620	23507193	23	2452	574
2470	chr1	23587991	23589062	49	2471	1072
2478	chr1	23637725	23638236	53	2479	512
2480	chr1	23637881	23639155	24	2481	1275
2485	chr1	23707130	23707452	25	2486	323
2493	chr1	23777379	23780291	99	2494	2913
2506	chr1	23891242	23892428	15	2507	1187
2535	chr1	24218404	24218821	69	2536	418
2537	chr1	24236019	24237108	28	2538	1090
2541	chr1	24290212	24291241	22	2542	1030
2542	chr1	24290364	24291442	37	2543	1079
2550	chr1	24350991	24352094	22	2551	1104
2566	chr1	24566425	24567476	30	2567	1052
2569	chr1	24585292	24586649	34	2570	1358
2572	chr1	24585842	24587161	22	2573	1320
2599	chr1	24950023	24950818	38	2600	796
2603	chr1	24988122	24988827	19	2604	706
2612	chr1	25018427	25019189	52	2613	763
2613	chr1	25039548	25040070	44	2614	523
2616	chr1	25069973	25070755	28	2617	783
2619	chr1	25084469	25085236	23	2620	768
2622	chr1	25101606	25102820	73	2623	1215
2631	chr1	25200060	25200410	25	2632	351
2638	chr1	25305645	25306003	36	2639	359
2646	chr1	25505518	25506438	68	2647	921
2652	chr1	25547646	25548218	35	2653	573
2656	chr1	25581621	25582544	30	2657	924
2671	chr1	25759325	25759735	47	2672	411
2672	chr1	25759394	25759944	53	2673	551
2674	chr1	25778475	25779752	75	2675	1278
2711	chr1	26020767	26021522	21	2712	756
2715	chr1	26051068	26052374	25	2716	1307
2717	chr1	26054108	26054451	47	2718	344
2730	chr1	26202992	26204192	26	2731	1201
2735	chr1	26287894	26290381	80	2736	2488
2740	chr1	26299856	26300203	26	2741	348
2743	chr1	26321766	26322321	27	2744	556
2745	chr1	26363533	26364878	35	2746	1346
2752	chr1	26446855	26447936	13	2753	1082
2763	chr1	26535736	26536633	68	2764	898
2764	chr1	26536179	26536530	30	2765	352
2788	chr1	26676147	26677740	14	2789	1594
2794	chr1	26814973	26815781	41	2795	809
2798	chr1	26848954	26851081	33	2799	2128
2799	chr1	26849386	26850072	101	2800	687
2800	chr1	26857135	26857680	66	2801	546
2801	chr1	26863417	26863770	45	2802	354
2805	chr1	26874706	26875432	32	2806	727
2809	chr1	26887588	26889318	18	2810	1731
2830	chr1	27003269	27005317	21	2831	2049
2837	chr1	27051534	27052753	15	2838	1220
2860	chr1	27296902	27297491	63	2861	590
2861	chr1	27302462	27303037	19	2862	576
2864	chr1	27321216	27322720	26	2865	1505
2866	chr1	27325457	27326261	56	2867	805
2872	chr1	27335966	27337527	55	2873	1562
2876	chr1	27361464	27364010	30	2877	2547
2885	chr1	27400067	27401139	28	2886	1073
2903	chr1	27539731	27540535	25	2904	805
2904	chr1	27540003	27540291	16	2905	289
2905	chr1	27544277	27544754	28	2906	478
2912	chr1	27576517	27576894	34	2913	378
2920	chr1	27630414	27631154	38	2921	741
2939	chr1	27884188	27885171	57	2940	984
2943	chr1	27885763	27888011	15	2944	2249
2949	chr1	27922979	27923475	22	2950	497
2952	chr1	27971104	27972652	19	2953	1549
2985	chr1	28369544	28369672	42	2986	129
3044	chr1	29109149	29110320	20	3045	1172
3047	chr1	29127398	29128164	31	3048	767
3048	chr1	29134813	29136085	27	3049	1273
3058	chr1	29223949	29224370	12	3059	422
3073	chr1	29458496	29459532	21	3074	1037
3079	chr1	29547723	29548816	12	3080	1094
3088	chr1	29673937	29674682	36	3089	746
3096	chr1	29753427	29754546	21	3097	1120
3099	chr1	29783658	29784988	22	3100	1331
3104	chr1	29848978	29850140	10	3105	1163
3112	chr1	30001459	30002562	14	3113	1104
3117	chr1	30065540	30065644	18	3118	105
3125	chr1	30163478	30165038	53	3126	1561
3139	chr1	30484853	30485956	35	3140	1104
3142	chr1	30488569	30489099	15	3143	531
3158	chr1	30697948	30698706	11	3159	759
3160	chr1	30704490	30705371	45	3161	882
3163	chr1	30716171	30716399	58	3164	229
3172	chr1	30795377	30796698	31	3173	1322
3175	chr1	30848202	30849346	15	3176	1145
3186	chr1	30905774	30906945	30	3187	1172
3187	chr1	30911647	30912222	46	3188	576
3200	chr1	31190594	31192811	27	3201	2218
3203	chr1	31218792	31221928	21	3204	3137
3208	chr1	31231611	31233960	30	3209	2350
3213	chr1	31255200	31258220	22	3214	3021
3221	chr1	31414602	31415554	69	3222	953
3225	chr1	31434379	31434796	33	3226	418
3235	chr1	31565098	31567083	9	3236	1986
3238	chr1	31580508	31580698	24	3239	191
3249	chr1	31669388	31670084	117	3250	697
3250	chr1	31669885	31670168	24	3251	284
3251	chr1	31670502	31671631	40	3252	1130
3253	chr1	31671017	31672470	88	3254	1454
3256	chr1	31673765	31674453	36	3257	689
3263	chr1	31686983	31692786	12	3264	5804
3273	chr1	31726588	31727132	66	3274	545
3283	chr1	31768988	31770843	28	3284	1856
3284	chr1	31771420	31772583	30	3285	1164
3291	chr1	31792644	31793016	42	3292	373
3294	chr1	31815313	31815883	40	3295	571
3316	chr1	32103478	32104245	13	3317	768
3320	chr1	32190777	32192840	51	3321	2064
3325	chr1	32203610	32204172	76	3326	563
3337	chr1	32251295	32251656	17	3338	362
3341	chr1	32321389	32321982	33	3342	594
3349	chr1	32425565	32425923	22	3350	359
3364	chr1	32693438	32696147	33	3365	2710
3365	chr1	32706397	32706755	41	3366	359
3377	chr1	32757631	32758365	89	3378	735
3379	chr1	32759920	32761738	20	3380	1819
3383	chr1	32768949	32769287	10	3384	339
3389	chr1	32860326	32862337	26	3390	2012
3398	chr1	32920805	32921073	28	3399	269
3400	chr1	32939858	32943889	29	3401	4032
3417	chr1	33079352	33079915	34	3418	564
3419	chr1	33093947	33094693	42	3420	747
3422	chr1	33116877	33118469	26	3423	1593
3423	chr1	33123040	33127273	19	3424	4234
3425	chr1	33149977	33151523	38	3426	1547
3432	chr1	33255005	33255645	79	3433	641
3434	chr1	33301569	33302121	62	3435	553
3436	chr1	33328857	33329646	26	3437	790
3438	chr1	33331654	33332334	29	3439	681
3441	chr1	33372737	33373091	23	3442	355
3456	chr1	33760970	33764101	107	3457	3132
3464	chr1	33912454	33912743	23	3465	290
3471	chr1	34003556	34006077	64	3472	2522
3489	chr1	34460486	34461197	23	3490	712
3501	chr1	34646370	34648822	36	3502	2453
3505	chr1	34650620	34651352	34	3506	733
3507	chr1	34692855	34694002	47	3508	1148
3511	chr1	34732850	34733794	22	3512	945
3519	chr1	34844436	34845938	52	3520	1503
3527	chr1	34926807	34927559	36	3528	753
3529	chr1	34975173	34977677	14	3530	2505
3532	chr1	35171979	35172733	14	3533	755
3558	chr1	35881666	35883644	32	3559	1979
3589	chr1	36326749	36328519	18	3590	1771
3594	chr1	36374017	36374462	17	3595	446
3595	chr1	36382175	36382494	56	3596	320
3600	chr1	36395506	36399865	15	3601	4360
3601	chr1	36398367	36398565	43	3602	199
3603	chr1	36569940	36570987	86	3604	1048
3609	chr1	36586839	36587640	56	3610	802
3620	chr1	36706324	36709881	44	3621	3558
3630	chr1	36783635	36785192	38	3631	1558
3633	chr1	36821520	36822155	24	3634	636
3636	chr1	36870183	36871928	38	3637	1746
3645	chr1	36980717	36981273	27	3646	557
3652	chr1	37036630	37037110	33	3653	481
3674	chr1	37308296	37309497	34	3675	1202
3694	chr1	37467611	37468336	20	3695	726
3705	chr1	37569915	37571812	12	3706	1898
3710	chr1	37651121	37651851	40	3711	731
3716	chr1	37688657	37690496	24	3717	1840
3733	chr1	37955316	37955844	71	3734	529
3737	chr1	37998636	37999162	12	3738	527
3747	chr1	38085617	38086465	39	3748	849
3749	chr1	38123058	38123701	39	3750	644
3750	chr1	38123077	38124044	159	3751	968
3757	chr1	38213819	38214394	49	3758	576
3761	chr1	38261213	38263593	60	3762	2381
3763	chr1	38263199	38265747	22	3764	2549
3782	chr1	38513344	38515265	22	3783	1922
3786	chr1	38517060	38518131	28	3787	1072
3788	chr1	38527148	38527939	61	3789	792
3806	chr1	38783946	38784373	25	3807	428
3813	chr1	39000593	39004687	16	3814	4095
3833	chr1	39500712	39501789	13	3834	1078
3836	chr1	39526449	39526963	27	3837	515
3841	chr1	39631755	39632291	44	3842	537
3844	chr1	39649619	39650673	54	3845	1055
3845	chr1	39650161	39650773	28	3846	613
3852	chr1	39799096	39799266	27	3853	171
3861	chr1	39941944	39942864	122	3862	921
3866	chr1	39969409	39969984	31	3867	576
3887	chr1	40316096	40316290	31	3888	195
3889	chr1	40415565	40417168	34	3890	1604
3900	chr1	40773140	40775006	12	3901	1867
3903	chr1	40827013	40827352	446	3904	340
3905	chr1	40832718	40836036	37	3906	3319
3913	chr1	40879490	40880682	13	3914	1193
3926	chr1	40965364	40965947	20	3927	584
3929	chr1	41013484	41014142	40	3930	659
3930	chr1	41033454	41034844	34	3931	1391
3953	chr1	41412270	41414412	26	3954	2143
3956	chr1	41420136	41420520	50	3957	385
3959	chr1	41460742	41461417	31	3960	676
3960	chr1	41469279	41469872	100	3961	594
3966	chr1	41498710	41499428	11	3967	719
3969	chr1	41499605	41500398	14	3970	794
3972	chr1	41503010	41503976	87	3973	967
3974	chr1	41526276	41527636	15	3975	1361
3991	chr1	41570649	41571525	36	3992	877
3992	chr1	41580036	41580965	26	3993	930
4001	chr1	41645870	41646797	18	4002	928
4005	chr1	41675169	41677769	26	4006	2601
4011	chr1	41707818	41708534	248	4012	717
4017	chr1	41806408	41808183	20	4018	1776
4024	chr1	41839142	41839582	78	4025	441
4027	chr1	41840099	41840853	20	4028	755
4031	chr1	41903439	41904756	21	4032	1318
4055	chr1	42681355	42681971	33	4056	617
4062	chr1	42774954	42776025	14	4063	1072
4065	chr1	42851633	42851893	26	4066	261
4066	chr1	42879923	42880517	49	4067	595
4070	chr1	42930770	42931811	48	4071	1042
4072	chr1	42961772	42962603	10	4073	832
4087	chr1	43069533	43070111	13	4088	579
4097	chr1	43167768	43169485	18	4098	1718
4108	chr1	43291560	43294014	18	4109	2455
4140	chr1	43771297	43771643	12	4141	347
4141	chr1	43783544	43787195	32	4142	3652
4158	chr1	43952887	43953531	20	4159	645
4159	chr1	43952949	43953261	24	4160	313
4164	chr1	43975824	43977093	50	4165	1270
4165	chr1	43976329	43977269	83	4166	941
4169	chr1	43995506	43997268	43	4170	1763
4181	chr1	44171880	44172350	72	4182	471
4183	chr1	44219147	44219488	127	4184	342
4185	chr1	44225128	44225834	52	4186	707
4191	chr1	44257385	44257769	20	4192	385
4193	chr1	44266088	44267946	45	4194	1859
4195	chr1	44291862	44292316	14	4196	455
4196	chr1	44293684	44294479	48	4197	796
4199	chr1	44336881	44346099	16	4200	9219
4206	chr1	44377086	44378559	71	4207	1474
4209	chr1	44379072	44379386	11	4210	315
4219	chr1	44545708	44546758	32	4220	1051
4239	chr1	44652793	44653993	12	4240	1201
4252	chr1	44754431	44757986	23	4253	3556
4255	chr1	44758606	44759231	26	4256	626
4266	chr1	44803954	44804719	18	4267	766
4275	chr1	45003828	45004216	61	4276	389
4291	chr1	45390988	45391298	12	4292	311
4294	chr1	45418970	45419284	12	4295	315
4307	chr1	45749834	45750972	16	4308	1139
4321	chr1	46040319	46041280	32	4322	962
4325	chr1	46163288	46163976	39	4326	689
4327	chr1	46175734	46176440	16	4328	707
4331	chr1	46188995	46189536	72	4332	542
4336	chr1	46269905	46270338	14	4337	434
4338	chr1	46309883	46310370	15	4339	488
4342	chr1	46319852	46320587	20	4343	736
4346	chr1	46401870	46402569	36	4347	700
