PeakID (cmd=annotatePeaks.pl /home/qukun/minghaofang/workspace/project/ecc/paper_data_final/03.analysis/cresil/E0771/ecc_pipe_result/cresil_result.analysis.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
15.79-2	chr6	142917269	142917600	+	8072	NA	intron (NM_011374, intron 1 of 4)	intron (NM_011374, intron 1 of 4)	47018	NM_011374	20449	Mm.260838	NM_011374	ENSMUSG00000030283	St8sia1	9330109E03Rik|GD3S|Sia-T|Siat8|Siat8a	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	protein-coding
11.85-2	chr2	93027325	93028154	+	8071	NA	intron (NM_001177536, intron 1 of 6)	intron (NM_001177536, intron 1 of 6)	-1609	NR_110333	433456	Mm.235231	NM_001002794	ENSMUSG00000075027	4631405J19Rik	-	RIKEN cDNA 4631405J19 gene	ncRNA
7.89-9	chr15	88377908	88378806	+	8070	NA	Intergenic	Intergenic	63483	NR_045281	328579	Mm.146839	NR_045281	ENSMUSG00000116331	B230214G05Rik	B230214G05	RIKEN cDNA B230214G05 gene	ncRNA
17.68	chr5	18897557	18897988	+	8069	NA	Intergenic	Lx4B|LINE|L1	328783	NR_102342	70832	Mm.398993	NR_102341	ENSMUSG00000097626	4921504A21Rik	-	RIKEN cDNA 4921504A21 gene	ncRNA
6.89-8	chr10	116733769	116735893	+	8068	NA	intron (NR_131036, intron 2 of 2)	intron (NR_131036, intron 2 of 2)	5578	NR_131036	75878	Mm.370607	NR_131036	ENSMUSG00000112924	4930579P08Rik	-	RIKEN cDNA 4930579P08 gene	ncRNA
6.69-7	chr18	63804158	63805384	+	8067	NA	intron (NM_001014981, intron 19 of 27)	intron (NM_001014981, intron 19 of 27)	96076	NM_001360837	104082	Mm.30850	NM_001014981	ENSMUSG00000040560	Wdr7	AI462727|TRAG|mKIAA0541	WD repeat domain 7	protein-coding
16.48-4	chr1	149128882	149129453	+	8066	NA	Intergenic	Intergenic	793272	NM_001305632	18783	Mm.4186	NM_008869	ENSMUSG00000056220	Pla2g4a	Pla2g4|cPLA2|cPLA2-alpha|cPLA2alpha	phospholipase A2, group IVA (cytosolic, calcium-dependent)	protein-coding
14.01-3	chr8	11320953	11321302	+	8065	NA	intron (NM_009932, intron 3 of 47)	intron (NM_009932, intron 3 of 47)	-8301	NM_009931	12826	Mm.738	NM_009931	ENSMUSG00000031502	Col4a1	Bru|Col4a-1|Raw|Svc	collagen, type IV, alpha 1	protein-coding
17.82	chr14	56151397	56152453	+	8064	NA	Intergenic	MT2C_Mm|LTR|ERVL	7654	NM_010375	14944	Mm.14868	NM_010375	ENSMUSG00000040284	Gzmg	Ctla-7|Ctla7	granzyme G	protein-coding
33.86-3	chr9	53852016	53852643	+	8063	NA	intron (NM_025540, intron 1 of 1)	intron (NM_025540, intron 1 of 1)	2078	NM_025540	66402	Mm.29132	NM_025540	ENSMUSG00000042045	Sln	2310045A07Rik	sarcolipin	protein-coding
9.62-3	chr18	73602310	73603357	+	8062	NA	Intergenic	Intergenic	30128	NM_001039214	240396	Mm.24131	NM_001039214	ENSMUSG00000037253	Mex3c	A130001D14Rik|BC035207|BM-013|Rkhd2	mex3 RNA binding family member C	protein-coding
5.36-5	chr14	114539495	114541572	+	8061	NA	Intergenic	Intergenic	-291432	NR_045661	75822	Mm.410813	NR_045661	ENSMUSG00000115320	4930524C18Rik	-	RIKEN cDNA 4930524C18 gene	ncRNA
10.77-3	chr3	31520593	31522290	+	8060	NA	Intergenic	L1_Mus3|LINE|L1	-211122	NM_172861	241919	Mm.285366	NM_172861	ENSMUSG00000069072	Slc7a14	A930013N06|BC061928	solute carrier family 7 (cationic amino acid transporter, y+ system), member 14	protein-coding
28.45	chr7	75888317	75888696	+	8059	NA	Intergenic	Lx5|LINE|L1	40168	NM_182782	207952	Mm.206223	NM_029652	ENSMUSG00000055652	Klhl25	2810402K13Rik|BC027373|Enc-1	kelch-like 25	protein-coding
8.98-4	chr3	95358306	95358762	+	8058	NA	Intergenic	Intergenic	-1332	NM_001163642	84505	Mm.490259	NM_018877	ENSMUSG00000015697	Setdb1	AU022152|ESET|KMT1E|mKIAA0067	SET domain, bifurcated 1	protein-coding
12.96-3	chr19	5868557	5868885	+	8057	NA	intron (NM_026169, intron 6 of 10)	B1F1|SINE|Alu	6487	NM_026169	67457	Mm.202092	NM_026169	ENSMUSG00000024816	Frmd8	1200004M23Rik|2310035N23Rik|4931429L16Rik|AU018809|iTAP	FERM domain containing 8	protein-coding
14.18-3	chr3	144996674	144998010	+	8056	NA	Intergenic	Intergenic	-22297	NM_207208	99663	Mm.442050	NM_207208	ENSMUSG00000068547	Clca4a	9130020L07Rik|AI504701|Clca4|Clca6	chloride channel accessory 4A	protein-coding
13.99-6	chr19	49034152	49034706	+	8055	NA	Intergenic	Intergenic	828404	NM_025696	66673	Mm.70980	NM_025696	ENSMUSG00000063434	Sorcs3	6330404A12Rik|AW045579	sortilin-related VPS10 domain containing receptor 3	protein-coding
8.09-4	chr10	126255178	126256114	+	8054	NA	Intergenic	Intergenic	289427	NM_177152	320398	Mm.275586	NM_177152	ENSMUSG00000020105	Lrig3	9030421L11Rik|9130004I02Rik|9430095K15Rik|mKIAA3016	leucine-rich repeats and immunoglobulin-like domains 3	protein-coding
19.89-5	chr2	180077029	180077387	+	8053	NA	intron (NM_001083328, intron 3 of 8)	ORR1B2|LTR|ERVL-MaLR	6615	NM_001083329	52856	Mm.219658	NM_028422	ENSMUSG00000039069	Mtg2	1810011P19Rik|2900056P18Rik|D2Bwg0647e|Gtpbp5	mitochondrial ribosome associated GTPase 2	protein-coding
19.89-4	chr16	69328351	69328561	+	8053	NA	Intergenic	Intergenic	471925	NR_130991	78110	Mm.211406	NR_130991	ENSMUSG00000107073	4930428D20Rik	Gm43265	RIKEN cDNA 4930428D20 gene	ncRNA
6.0-17	chr15	71199172	71200310	+	8052	NA	Intergenic	Intergenic	528097	NM_177819	70363	Mm.126450	NM_177819	ENSMUSG00000036800	Fam135b	1700010C24Rik|A830008O07Rik	family with sequence similarity 135, member B	protein-coding
5.4-4	chr14	12437007	12437905	+	8051	NA	intron (NM_001359921, intron 26 of 29)	intron (NM_001359921, intron 26 of 29)	-91591	NM_080433	54713	Mm.34644	NM_080433	ENSMUSG00000021743	Fezf2	AI451466|AI852056|Fez|Fezl|Zfp312	Fez family zinc finger 2	protein-coding
5.81-6	chr4	135872833	135874148	+	8050	NA	intron (NM_026383, intron 1 of 2)	intron (NM_026383, intron 1 of 2)	356	NM_026383	52830	Mm.29159	NM_026383	ENSMUSG00000028675	Pnrc2	0610011E17Rik|D4Bwg0593e	proline-rich nuclear receptor coactivator 2	protein-coding
14.83-5	chr15	88385079	88385409	+	8049	NA	Intergenic	Intergenic	70370	NR_045281	328579	Mm.146839	NR_045281	ENSMUSG00000116331	B230214G05Rik	B230214G05	RIKEN cDNA B230214G05 gene	ncRNA
26.62	chr5	61585527	61585908	+	8048	NA	Intergenic	B3|SINE|B2	-223126	NM_019468	14380	Mm.347430	NM_019468	ENSMUSG00000089992	G6pd2	G6pdx-ps1|Gpd-2|Gpd2	glucose-6-phosphate dehydrogenase 2	protein-coding
23.87-2	chr16	47916807	47917172	+	8047	NA	Intergenic	Intergenic	241510	NR_152166	619300	Mm.384092	NR_152166		6430553K19Rik	-	RIKEN cDNA 6430553K19 gene	ncRNA
7.68-9	chr7	11889114	11889484	+	8046	NA	Intergenic	ETnERV2-int|LTR|ERVK	8956	NM_134207	171241	Mm.377197	NM_134207	ENSMUSG00000043308	Vmn1r75	V1rg6	vomeronasal 1 receptor 75	protein-coding
7.78-4	chr5	134685124	134685450	+	8045	NA	intron (NM_010717, intron 2 of 15)	intron (NM_010717, intron 2 of 15)	3303	NM_010717	16885	Mm.15409	NM_010717	ENSMUSG00000029674	Limk1	KIZ-1|LIMK-1|Limk	LIM-domain containing, protein kinase	protein-coding
27.59-2	chr3	77549246	77550020	+	8044	NA	Intergenic	Intergenic	1474050	NM_001253719	213262	Mm.379337	NM_178673	ENSMUSG00000034098	Fstl5	9130207J01Rik	follistatin-like 5	protein-coding
23.58-2	chr2	167691693	167692243	+	8043	NA	intron (NR_015500, intron 1 of 1)	intron (NR_015500, intron 1 of 1)	791	NR_015500	329562	Mm.123101	NM_177851	ENSMUSG00000006462	A530013C23Rik	-	RIKEN cDNA A530013C23 gene	ncRNA
14.32-3	chr17	3499507	3499856	+	8042	NA	intron (NM_001286757, intron 1 of 12)	intron (NM_001286757, intron 1 of 12)	16191	NM_001286757	24001	Mm.137134	NM_011878	ENSMUSG00000023800	Tiam2	3000002F19Rik|STEF|mKIAA2016	T cell lymphoma invasion and metastasis 2	protein-coding
6.67-5	chr11	99931238	99932179	+	8041	NA	Intergenic	Intergenic	-4583	NM_001025244	432602	Mm.246878	NM_001025244	ENSMUSG00000051481	Krtap31-2	-	keratin associated protein 31-2	protein-coding
7.13-3	chr13	115815465	115816499	+	8040	NA	Intergenic	L1_Mus4|LINE|L1	493706	NM_021459	16392	Mm.42242	NM_021459	ENSMUSG00000042258	Isl1	-	ISL1 transcription factor, LIM/homeodomain	protein-coding
6.14-4	chr15	24461131	24462634	+	8039	NA	Intergenic	L1_Mus4|LINE|L1	951882	NM_027395	70350	Mm.29586	NM_027395	ENSMUSG00000045763	Basp1	2610024P12Rik|CAP-23|CAP23|Ckap3|NAP-22|NAP22	brain abundant, membrane attached signal protein 1	protein-coding
17.99	chr1	146248613	146248966	+	8038	NA	Intergenic	Intergenic	-246840	NM_001357571	215378	Mm.441817	NM_153539	ENSMUSG00000035131	Brinp3	B830045N13Rik|Fam5c	bone morphogenetic protein/retinoic acid inducible neural specific 3	protein-coding
13.99-5	chr10	81376773	81377300	+	8037	NA	intron (NM_019757, intron 1 of 13)	intron (NM_019757, intron 1 of 13)	1334	NM_019757	56371	Mm.24202	NM_019757	ENSMUSG00000020235	Fzr1	AW108046|Cdh1|FZR|FZR2|Fyr|HCDH|HCDH1	fizzy and cell division cycle 20 related 1	protein-coding
13.97-2	chr11	101489128	101489714	+	8036	NA	3' UTR (NM_009764, exon 23 of 23)	3' UTR (NM_009764, exon 23 of 23)	21246	NM_009708	11858	Mm.378883	NM_009708	ENSMUSG00000001313	Rnd2	Arhn|Rohn|rho7	Rho family GTPase 2	protein-coding
9.26-4	chr9	25798091	25799183	+	8035	NA	Intergenic	Intergenic	317040	NM_026189	67484	Mm.112977	NM_026189	ENSMUSG00000036611	Eepd1	2310005P05Rik|AI481005	endonuclease/exonuclease/phosphatase family domain containing 1	protein-coding
9.94-8	chr17	66755100	66757397	+	8034	NA	intron (NM_008984, intron 18 of 30)	intron (NM_008984, intron 18 of 30)	41792	NR_151453	102639882	Mm.443262	NR_151453		1700016K05Rik	-	RIKEN cDNA 1700016K05 gene	ncRNA
9.26-3	chr7	47145451	47146160	+	8033	NA	Intergenic	RMER15|LTR|ERVL	-12121	NM_013643	19259	Mm.4654	NM_013643	ENSMUSG00000030854	Ptpn5	Step	protein tyrosine phosphatase, non-receptor type 5	protein-coding
15.68-4	chr12	73866472	73867322	+	8032	NA	Intergenic	Intergenic	-34427	NM_001313920	15251	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF-1-alpha|HIF1-alpha|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding
23.41-4	chr10	120720107	120721438	+	8031	NA	Intergenic	Intergenic	-44960	NR_038000	70874	Mm.427286	NR_038000	ENSMUSG00000044544	4921513I03Rik	-	RIKEN cDNA 4921513I03 gene	ncRNA
13.59-2	chr7	134176255	134177644	+	8030	NA	intron (NM_007400, intron 1 of 22)	intron (NM_007400, intron 1 of 22)	48148	NM_007400	11489	Mm.439714	NM_007400	ENSMUSG00000054555	Adam12	Mltna	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	protein-coding
5.98-17	chr19	3156547	3159129	+	8029	NA	intron (NR_045304, intron 2 of 2)	intron (NR_045304, intron 2 of 2)	39865	NR_045304	70011	Mm.393871	NR_045304	ENSMUSG00000100969	1700030N03Rik	1700087C08Rik	RIKEN cDNA 1700030N03 gene	ncRNA
7.95-8	chr15	7086157	7087713	+	8028	NA	Intergenic	Intergenic	-42637	NM_001113386	16880	Mm.149720	NM_013584	ENSMUSG00000054263	Lifr	A230075M04Rik|AW061234|LIF	LIF receptor alpha	protein-coding
12.98-3	chr5	29369064	29369898	+	8027	NA	intron (NM_020295, intron 1 of 16)	MTA_Mm-int|LTR|ERVL-MaLR	8909	NM_020295	56873	Mm.41572	NM_020295	ENSMUSG00000010721	Lmbr1	1110048D14Rik|AU017641	limb region 1	protein-coding
7.98-11	chr1	45553492	45554063	+	8026	NA	Intergenic	Lx5|LINE|L1	-50495	NM_007737	12832	Mm.10299	NM_007737	ENSMUSG00000026042	Col5a2	1110014L14Rik	collagen, type V, alpha 2	protein-coding
5.96-14	chr11	5015974	5016812	+	8025	NA	intron (NM_001355659, intron 4 of 22)	intron (NM_001355659, intron 4 of 22)	29569	NM_007454	11764	Mm.274816	NM_007454	ENSMUSG00000009090	Ap1b1	Adtb1|b2b1660Clo	adaptor protein complex AP-1, beta 1 subunit	protein-coding
9.87-3	chr19	14110487	14110844	+	8024	NA	Intergenic	Intergenic	191643	NM_001011850	258151	Mm.377361	NM_001011850	ENSMUSG00000062314	Olfr1505	MOR211-4P	olfactory receptor 1505	protein-coding
6.0-16	chr1	99032126	99033378	+	8023	NA	Intergenic	RMER12C|LTR|ERVK	611628	NM_027584	70866	Mm.389164	NM_027584	ENSMUSG00000026336	Slco6d1	4921511I05Rik	solute carrier organic anion transporter family, member 6d1	protein-coding
12.74-3	chr3	77785471	77785874	+	8022	NA	Intergenic	Intergenic	1360074	NM_001310536	76089	Mm.31220	NM_001099624	ENSMUSG00000062232	Rapgef2	5830453M24Rik|CNRasGEF|Pdzgef1|RA-GEF-1|mKIAA0313|nRapGEP	Rap guanine nucleotide exchange factor (GEF) 2	protein-coding
13.74-2	chr3	18060337	18060574	+	8021	NA	Intergenic	Intergenic	6130	NM_021560	59058	Mm.149938	NM_021560	ENSMUSG00000025128	Bhlhe22	Beta3|Beta3a|Bhlhb5	basic helix-loop-helix family, member e22	protein-coding
6.01-9	chr10	20424554	20425500	+	8020	NA	intron (NM_001347366, intron 7 of 11)	RMER3D-int|LTR|ERVK	77208	NM_027930	71804	Mm.262151	NM_027930	ENSMUSG00000019992	Mtfr2	2610016C23Rik|4933412C16Rik|Dufd1|Fam54a	mitochondrial fission regulator 2	protein-coding
5.93-11	chr17	43190656	43191334	+	8019	NA	Intergenic	Intergenic	-32704	NR_045155	545207	Mm.329050	NR_045153	ENSMUSG00000117011	E130008D07Rik	-	RIKEN cDNA E130008D07 gene	ncRNA
39.44	chr4	134206172	134206629	+	8018	NA	Intergenic	Intergenic	-3396	NM_001080712	665186	Mm.318615	NM_001080712	ENSMUSG00000073747	Gm7534	EG665186	predicted gene 7534	protein-coding
7.98-10	chr16	32009986	32010388	+	8017	NA	Intergenic	RMER15|LTR|ERVL	-6900	NM_001357088	320213	Mm.152890	NM_023801	ENSMUSG00000022772	Senp5	6230429P13Rik|A730063F07Rik|AI851888|BB189556|SMT3IP3	SUMO/sentrin specific peptidase 5	protein-coding
18.8-2	chr3	135889237	135891167	+	8016	NA	Intergenic	Intergenic	-49933	NR_040540	71038	Mm.410798	NR_040540	ENSMUSG00000106306	4933401H06Rik	-	RIKEN cDNA 4933401H06 gene	ncRNA
11.91-10	chr7	47331201	47332703	+	8015	NA	Intergenic	L1Md_F2|LINE|L1	22288	NM_153095	233221	Mm.389895	NM_153095	ENSMUSG00000050650	Mrgpra1	MrgA1	MAS-related GPR, member A1	protein-coding
25.64-3	chr15	87542350	87542731	+	8014	NA	Intergenic	Intergenic	-1759	NM_001252310	106014	Mm.244319	NM_134096	ENSMUSG00000054863	Tafa5	Fam19a5|Tafa-5|Tara-5	TAFA chemokine like family member 5	protein-coding
15.65-5	chr17	92462107	92462581	+	8013	NA	Intergenic	Intergenic	-736673	NM_001315503	11516	Mm.3407	NM_009625	ENSMUSG00000024256	Adcyap1	PACAP	adenylate cyclase activating polypeptide 1	protein-coding
15.7	chrX	101433552	101434389	+	8012	NA	intron (NM_023144, intron 2 of 11)	PB1D9|SINE|Alu	4319	NM_023144	53610	Mm.280069	NM_023144	ENSMUSG00000031311	Nono	AA407051|AV149256|NRB54|P54NRB|nonA	non-POU-domain-containing, octamer binding protein	protein-coding
7.9-15	chr12	4365402	4365993	+	8011	NA	intron (NM_010881, intron 2 of 22)	intron (NM_010881, intron 2 of 22)	111485	NM_010881	17977	Mm.301039	NM_010881	ENSMUSG00000020647	Ncoa1	KAT13A|NCoA-1|NRC-1|SRC-1|SRC-a|SRC1|bHLHe74|mNRC-1	nuclear receptor coactivator 1	protein-coding
5.0-4	chr16	41970038	41970935	+	8010	NA	intron (NM_001361281, intron 5 of 8)	intron (NM_001361281, intron 5 of 8)	332983	NR_105858	102466172		NR_105858	ENSMUSG00000098300	Mir6540	Gm27780|mir-6540|mmu-mir-6540	microRNA 6540	ncRNA
45.17	chr3	151621473	151622312	+	8009	NA	Intergenic	Lx7|LINE|L1	128018	NM_133871	99899	Mm.30756	NM_133871	ENSMUSG00000028037	Ifi44	A430056A10Rik|AW261460|MTAP44|p44	interferon-induced protein 44	protein-coding
9.88-11	chr5	32767835	32768663	+	8008	NA	intron (NM_177298, intron 2 of 7)	PB1D7|SINE|Alu	17377	NM_177298	320951	Mm.273765	NM_177298	ENSMUSG00000023452	Pisd	9030221M09Rik	phosphatidylserine decarboxylase	protein-coding
11.8-5	chr9	119442477	119443283	+	8007	NA	TTS (NM_001313757)	TTS (NM_001313757)	-2080	NM_172456	208194	Mm.101578	NM_172456	ENSMUSG00000042787	Exog	AW557704|ENGL-B|ENGL-a|Endogl1|Endogl2|Engl|Engla|Englb	endo/exonuclease (5'-3'), endonuclease G-like	protein-coding
10.16-3	chr18	64164769	64165896	+	8006	NA	intron (NR_045366, intron 4 of 5)	MTC|LTR|ERVL-MaLR	-89027	NM_009182	20451	Mm.252110	NM_009182	ENSMUSG00000056812	St8sia3	AI847333|ST8SiaIII|Siat8c	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	protein-coding
13.74	chr9	122620227	122621561	+	8005	NA	Intergenic	MTEb|LTR|ERVL-MaLR	48393	NR_015610	319626	Mm.186748	NR_015610	ENSMUSG00000097736	9530059O14Rik	-	RIKEN cDNA 9530059O14 gene	ncRNA
61.24-2	chr14	101415211	101415590	+	8004	NA	Intergenic	Lx|LINE|L1	193791	NM_001081278	210789	Mm.320639	NM_173380	ENSMUSG00000033083	Tbc1d4	5930406J04Rik|A930035N22|AV295684|As160	TBC1 domain family, member 4	protein-coding
11.8-4	chr5	35865151	35865632	+	8003	NA	intron (NM_001177698, intron 16 of 17)	intron (NM_001177698, intron 16 of 17)	-27928	NM_027373	70292	Mm.125167	NM_027373	ENSMUSG00000029094	Afap1	2600003E23Rik|9630044L16Rik|AI848729|Afap|mKIAA3018	actin filament associated protein 1	protein-coding
12.6-4	chr16	37955078	37955344	+	8002	NA	intron (NM_153394, intron 3 of 9)	intron (NM_153394, intron 3 of 9)	38715	NM_153394	239845	Mm.228018	NM_153394	ENSMUSG00000046961	Gpr156	Gababl	G protein-coupled receptor 156	protein-coding
10.13-2	chr7	70878761	70879887	+	8001	NA	Intergenic	L1_Mus3|LINE|L1	-512578	NM_183261	11819	Mm.158143	NM_009697	ENSMUSG00000030551	Nr2f2	2700033K02Rik|9430015G03Rik|ARP-1|Aporp1|COUP-TF2|COUP-TFII|COUPTFB|EAR3|SVP40|Tcfcoup2	nuclear receptor subfamily 2, group F, member 2	protein-coding
