id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage
ec98	chr17:43277170-43297917_+	20748	1	cyclic	125	2881962	138.90
ec99	chrX:9404132-9414699_+	10568	1	cyclic	107	1839035	174.02
ec100	chr18:7144265-7146766_+	2502	1	cyclic	36	696702	278.46
ec101	chr3:8677203-8680302_+	3100	1	cyclic	70	1643578	530.19
ec102	chr6:32482951-32485553_-,chr6:32482199-32482949_-	3354	2	non-cyclic	62	547184	163.14
ec103	chr21:43262468-43262866_+	399	1	cyclic	36	151606	379.96
ec104	chr16:34168583-34176544_-,chr16:34071673-34168828_-	105118	2	non-cyclic	547	9025959	85.87
ec105	chr5:2371912-2372196_+	285	1	cyclic	27	541768	1900.94
ec106	chr8:57219608-57220871_+,chr8:57202038-57204387_-,chr8:57204336-57210492_+,chr8:57210493-57219612_+	18891	4	non-cyclic	169	9392225	497.18
ec107	chr15:20344098-20346429_+,chr15:20105630-20340260_+,chr15:20352408-20376580_-,chr15:20346272-20352414_-,chr15:20376567-20383622_-,chr15:20340243-20344097_+	278190	6	non-cyclic	635	12012408	43.18
ec108	chr12:131626509-131627834_+	1326	1	cyclic	25	549469	414.38
ec109	chr7:56369086-56375159_+,chr7:56367823-56368997_+	7249	2	non-cyclic	154	2658310	366.71
ec110	chr14:82674766-82675508_+	743	1	cyclic	42	790498	1063.93
ec111	chrX:147279105-147287193_+	8089	1	cyclic	46	1027152	126.98
ec112	chr15:83872464-83875332_+,chr15:30866982-30873306_+,chr15:81842151-83872682_-	2039726	3	non-cyclic	5166	73712618	36.14
ec113	chr16:8022096-8022501_+	406	1	cyclic	21	271990	669.93
ec114	chr8:85653392-85664222_+,chr8:85652544-85653399_+	11687	2	cyclic	194	5433236	464.90
ec115	chr12:130646042-130646476_+	435	1	cyclic	25	319714	734.97
ec116	chr6:32523803-32526034_+,chr6:32525881-32531207_-,chr8:46310528-46312319_-	9351	3	non-cyclic	115	1616435	172.86
ec117	chr4:62810409-63917880_-,chr4:60467469-62803708_-	3443712	2	cyclic	11560	168082792	48.81
ec118	chr1:31431751-31432228_+	478	1	cyclic	44	746669	1562.07
ec119	chr10:125905220-125906032_-,chr10:125885884-125905227_+	20157	2	non-cyclic	260	8340937	413.80
ec120	chr12:58376283-58415350_-,chr12:58335942-58371422_-	74549	2	cyclic	201	3478992	46.67
ec121	chr20:44683268-44683574_-	307	1	cyclic	33	689142	2244.76
ec122	chr14:29259597-29261927_+	2331	1	cyclic	37	830559	356.31
ec123	chr6:44045560-46066658_-,chr6:43031632-44044451_-,chr6:44044443-44045564_-,chr6:43030288-43031737_-	3036491	4	non-cyclic	10947	156391531	51.50
ec124	chr14:35036390-35038509_+	2120	1	cyclic	33	643444	303.51
ec125	chr6:32587098-32590726_+,chr6:32590722-32591658_+	4566	2	non-cyclic	73	492491	107.86
ec126	chr12:123425184-123429572_+,chr12:123425046-123425278_+	4622	2	cyclic	39	1756479	380.03
ec127	chr4:49314035-49324328_+,chr4:49324320-49324626_+,chr4:49311919-49314041_-	12724	3	non-cyclic	199	4951572	389.15
ec128	chr1:248408088-248409078_+	991	1	cyclic	142	1004281	1013.40
ec129	chr4:189232789-189235493_+	2705	1	cyclic	73	753986	278.74
ec130	chr2:117567511-117569138_+	1628	1	cyclic	36	896950	550.95
ec131	chr4:190070395-190093263_-,chr4:190065229-190070400_-	28041	2	cyclic	98	1929878	68.82
ec132	chr20:28626724-28646195_-,chr20:28625172-28626901_-	21202	2	non-cyclic	139	3083274	145.42
ec133	chr1:114828099-114836333_+	8235	1	cyclic	63	1317428	159.98
ec134	chrX:89201786-89208506_+	6721	1	cyclic	72	1255735	186.84
ec135	chr4:58449775-58450554_-,chr4:58406369-58449774_-	44186	2	non-cyclic	183	3678373	83.25
ec136	chr8:85789084-85800437_+,chr8:85800429-85813740_+	24666	2	non-cyclic	130	7648828	310.10
ec137	chrX:49017247-49019096_+	1850	1	cyclic	37	948025	512.45
ec138	chr7:158146917-158149179_+	2263	1	cyclic	85	848530	374.96
ec139	chr10:133759022-133764488_-,chr10:133679517-133682304_-,chr10:133752409-133759021_-	14868	3	non-cyclic	341	3577426	240.61
ec140	chr21:8448711-8453762_+,chr21:8453751-8458185_+	9487	2	cyclic	1422	63870150	6732.39
ec141	chr4:46797036-47005875_+,chr16:16840518-16842625_+	210948	2	non-cyclic	735	10589265	50.20
ec142	chr9:2176583-2177847_+	1265	1	cyclic	41	1225873	969.07
ec143	chr20:28881200-28889059_+	7860	1	cyclic	228	1211785	154.17
ec144	chr16:26373747-26375011_+	1265	1	cyclic	54	1262926	998.36
ec145	chr5:552117-553895_+	1779	1	cyclic	40	909991	511.52
ec146	chr18:105762-106639_-,chr18:107248-107455_-,chr18:106635-107114_-	1566	3	non-cyclic	2781	60762434	38801.04
ec147	chr9:39031420-39035760_-,chr9:39021309-39031507_-	14540	2	non-cyclic	140	4493711	309.06
ec148	chr11:63418732-63441335_+	22604	1	cyclic	209	3506668	155.13
ec149	chr20:49617407-49617808_+	402	1	cyclic	54	868377	2160.14
ec150	chr10:132364335-132364843_+	509	1	cyclic	39	588231	1155.66
ec151	chr9:40905015-40915781_+	10767	1	cyclic	242	4038532	375.08
ec152	chr13:21161871-21168401_+,chr13:21158007-21159988_+,chr13:21159906-21161873_+	10481	6	non-cyclic	58	3008536	287.05
ec153	chr14:94363767-94378217_+,chr14:94378178-94380844_+	17118	2	non-cyclic	79	2280249	133.21
ec154	chr9:122866814-122868219_+	1406	1	cyclic	25	569008	404.70
ec155	chr11:3653784-3654822_+	1039	1	cyclic	77	863379	830.97
ec156	chr7:942275-943883_+	1609	1	cyclic	39	639433	397.41
ec157	chr16:48616977-48617403_+,chr16:48477418-48616972_-	139982	2	non-cyclic	493	7935059	56.69
ec158	chr19:27373007-27374603_+	1597	1	cyclic	95	1955647	1224.58
ec159	chr1:236713597-236715065_+	1469	1	cyclic	63	1258920	856.99
ec160	chr12:2255795-2256070_+	276	1	cyclic	33	132782	481.09
ec161	chr1:210653891-210654221_+	331	1	cyclic	72	1047758	3165.43
ec162	chr5:49656289-49661871_+	5583	1	cyclic	151	984653	176.37
ec163	chr1:12880308-12885778_+	5471	1	cyclic	34	751684	137.39
ec164	chr7:240245-240564_+	320	1	cyclic	30	320961	1003.00
ec165	chr9:60518559-60528554_+	9996	1	cyclic	50	734503	73.48
ec166	chr5:59725507-59809926_+	84420	1	cyclic	312	5066244	60.01
ec167	chr5:70490050-70511595_-,chr5:70485227-70490314_-	26634	2	cyclic	151	7221871	271.15
ec168	chr4:97433129-97438067_-,chr4:97266254-97433140_-	171826	2	non-cyclic	591	9532190	55.48
ec169	chr22:50494393-50495636_+	1244	1	cyclic	20	434233	349.06
ec170	chr4:1434207-1435789_+	1583	1	cyclic	25	102835	64.96
ec171	chr16:46417573-46419287_+,chr16:46419250-46422645_+	5111	2	non-cyclic	769	50678932	9915.66
ec172	chr2:3180411-3181533_+	1123	1	cyclic	37	307966	274.24
ec173	chr12:101148985-101155153_+	6169	1	cyclic	28	413672	67.06
ec174	chrX:8466537-8467419_+	883	1	cyclic	46	882812	999.79
ec175	chr3:184159368-184163216_+	3849	1	cyclic	48	1096493	284.88
ec176	chr11:585212-585674_+	463	1	cyclic	50	939145	2028.39
ec177	chr6:32504667-32507386_-,chr6:32502403-32504701_-	5019	2	non-cyclic	44	248944	49.60
ec178	chrX:90225871-90226278_-	408	1	cyclic	44	892182	2186.72
ec179	chr18:47021633-47031654_+,chr18:47031650-47036600_+	14973	2	non-cyclic	125	5118172	341.83
ec180	chr2:206996-207736_+	741	1	cyclic	74	756753	1021.26
ec181	chr13:18212576-18215461_+	2886	1	cyclic	125	1871501	648.48
ec182	chr21:44835972-44836457_+	486	1	cyclic	57	1059460	2179.96
ec183	chr2:116216764-116217052_-,chr2:116220728-116224310_+	3872	2	non-cyclic	52	1501261	387.72
ec184	chr4:65943354-66827997_+,chr5:24370662-24372193_+	886176	2	non-cyclic	2903	41841317	47.22
ec185	chr4:72965450-72966280_+,chr4:74717513-74723715_+,chr4:72966104-74717037_+	1757968	3	non-cyclic	6124	89102611	50.69
ec186	chrX:15266667-15267775_+	1109	1	cyclic	29	727773	656.24
ec187	chr4:189835668-189837511_+	1844	1	cyclic	48	395845	214.67
ec188	chr2:242006405-242010639_+	4235	1	cyclic	63	1308144	308.89
ec189	chr10:131041973-131043156_+	1184	1	cyclic	49	929912	785.40
ec190	chr2:241896489-241896875_+	387	1	cyclic	34	359314	928.46
ec191	chr1:2435929-2436601_+	673	1	cyclic	52	952163	1414.80
ec192	chr6:164260185-164260631_+,chr4:2524377-2525528_-,chr4:8938122-8938417_+	1895	3	non-cyclic	128	2825697	1491.13
ec193	chr16:1185578-1186194_+	617	1	cyclic	22	408844	662.63
ec194	chrX:50057376-50057697_+	322	1	cyclic	34	635648	1974.06
ec195	chr4:7863943-7864164_+	222	1	cyclic	45	488163	2198.93
ec196	chr20:670383-851789_+	181407	1	cyclic	734	10516569	57.97
ec197	chr7:158360006-158361423_-,chr7:158329969-158360012_-	31462	2	cyclic	161	3678311	116.91
ec198	chr5:141173982-141180344_+	6363	1	cyclic	48	942059	148.05
ec199	chr17:82586171-82586566_+	396	1	cyclic	43	771204	1947.48
ec200	chr2:56719160-56724176_+	5017	1	cyclic	41	931584	185.69
ec201	chr14:16091812-16096528_+	4717	1	cyclic	160	930746	197.32
ec202	chr17:314397-317568_+	3172	1	cyclic	44	724907	228.53
ec203	chr3:146677075-146677378_+	304	1	cyclic	27	656541	2159.67
ec204	chr16:1025246-1025728_+	483	1	cyclic	29	193342	400.29
ec205	chr6:95018917-95019139_+	223	1	cyclic	10	149595	670.83
ec206	chr14:89360700-89362823_+	2124	1	cyclic	51	823103	387.52
ec207	chr6:168839973-168841214_+	1242	1	cyclic	31	621900	500.72
ec208	chr4:189846011-189847293_+	1283	1	cyclic	24	458699	357.52
ec209	chr11:1939856-1940498_+	643	1	cyclic	42	477916	743.26
ec210	chr3:197384001-197392344_+	8344	1	cyclic	65	1353411	162.20
ec211	chr20:32621007-32621307_-	301	1	cyclic	30	601435	1998.12
ec212	chr20:62349646-62349853_+	208	1	cyclic	44	730983	3514.34
ec213	chr10:44662654-44663103_+	450	1	cyclic	45	931286	2069.52
ec214	chr16:34571512-34576770_+	5259	1	cyclic	308	1095272	208.27
ec215	chr17:72236544-72236852_+	309	1	cyclic	48	920904	2980.27
ec216	chr12:163127-163399_+	273	1	cyclic	44	981583	3595.54
ec217	chr9:64123705-64124017_-	313	1	cyclic	67	1059277	3384.27
ec218	chr4:186432277-186436699_+	4423	1	cyclic	39	769744	174.03
ec219	chr1:3583262-3583932_+	671	1	cyclic	36	798777	1190.43
ec220	chrX:48672674-48672956_-	283	1	cyclic	20	189826	670.76
ec221	chr6:160218291-160219405_+	1115	1	cyclic	22	303132	271.87
ec222	chr1:236097103-236097408_+	306	1	cyclic	61	1029817	3365.42
ec223	chr4:150250851-150251775_+	925	1	cyclic	19	139713	151.04
ec224	chr20:30128468-30131286_+,chr20:29900657-29918689_+	20852	2	non-cyclic	188	3350370	160.67
ec225	chr4:189881210-189881552_+	343	1	cyclic	24	410486	1196.75
ec226	chrX:3639143-3639570_+	428	1	cyclic	39	513328	1199.36
ec227	chr22:11902009-11906587_+,chr22:11906581-11910700_+	8699	2	non-cyclic	332	12150550	1396.78
ec228	chr7:64886075-64887620_+,chr7:64857681-64886094_+	29960	2	cyclic	105	2438898	81.41
ec229	chr11:1670502-1671122_+	621	1	cyclic	36	765161	1232.14
ec230	chr9:42320583-42329792_-,chr9:42309801-42321233_-	20643	2	non-cyclic	94	3109651	150.64
ec231	chr11:102730748-102731363_+	616	1	cyclic	44	920930	1495.02
ec232	chr7:478308-479299_+	992	1	cyclic	48	820333	826.95
ec233	chr1:246785645-246786006_+	362	1	cyclic	57	1304337	3603.14
ec234	chr22:40536558-40538064_+	1507	1	cyclic	24	537326	356.55
ec235	chr4:8625886-8637182_+,chr4:8620247-8625892_+	16943	2	cyclic	70	2887234	170.41
