PeakID (cmd=annotatePeaks.pl /home/qukun/minghaofang/workspace/project/ecc/paper_data_final/03.analysis/cresil/EJM/ecc_pipe_result/cresil_result.analysis.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
5.4-3	chr2	141237980	141238226	+	4651	NA	intron (NM_018557, intron 5 of 90)	intron (NM_018557, intron 5 of 90)	-651418	NR_106979	102465692		NR_106979	ENSG00000283506	MIR7157	hsa-mir-7157	microRNA 7157	ncRNA
42.25	chr6	56321832	56322176	+	4650	NA	intron (NM_001318752, intron 1 of 28)	HSMAR1|DNA|TcMar-Mariner	72124	NM_001318752	81578	Hs.47629	NM_030820	ENSG00000124749	COL21A1	COLA1L|FP633	collagen type XXI alpha 1 chain	protein-coding
10.57	chr2	114500195	114500540	+	4649	NA	intron (NM_001321908, intron 2 of 25)	intron (NM_001321908, intron 2 of 25)	38790	NM_001178036	57628	Hs.580539	NM_020868	ENSG00000175497	DPP10	DPL2|DPPY|DPRP-3|DPRP3	dipeptidyl peptidase like 10	protein-coding
7.75-4	chr1	155321822	155322582	+	4648	NA	exon (NM_001105203, exon 2 of 10)	exon (NM_001105203, exon 2 of 10)	1308	NM_001105204	23623	Hs.226499	NM_014328	ENSG00000160753	RUSC1	NESCA	RUN and SH3 domain containing 1	protein-coding
5.99-15	chr1	230777892	230778253	+	4647	NA	intron (NM_001319676, intron 6 of 17)	L2a|LINE|L2	30684	NM_006615	10753	Hs.498021	NM_006615	ENSG00000135773	CAPN9	GC36|nCL-4	calpain 9	protein-coding
10.83-7	chr11	58562953	58563354	+	4646	NA	intron (NM_001307951, intron 2 of 7)	intron (NM_001307951, intron 2 of 7)	12764	NM_004811	9404	Hs.125474	NM_004811	ENSG00000110031	LPXN	LDPL	leupaxin	protein-coding
5.99-14	chr22	44166026	44166707	+	4645	NA	intron (NM_001243386, intron 11 of 11)	AluSx1|SINE|Alu	-6590	NM_001137605	64098	Hs.658995	NM_022141	ENSG00000138964	PARVG	-	parvin gamma	protein-coding
23.84-2	chr6	136428079	136428423	+	4644	NA	intron (NM_001198617, intron 1 of 15)	AluSx|SINE|Alu	38624	NM_001198615	9053	Hs.486548	NM_003980	ENSG00000135525	MAP7	E-MAP-115|EMAP115	microtubule associated protein 7	protein-coding
4.99-6	chr15	43504017	43504370	+	4643	NA	intron (NM_005657, intron 1 of 27)	AluJo|SINE|Alu	6447	NM_005657	7158	Hs.440968	NM_005657	ENSG00000067369	TP53BP1	53BP1|TDRD30|p202|p53BP1	tumor protein p53 binding protein 1	protein-coding
5.85-14	chr7	3027696	3028566	+	4642	NA	intron (NM_001324281, intron 1 of 25)	MIR|SINE|MIR	15736	NM_001324281	84433	Hs.648101	NM_032415	ENSG00000198286	CARD11	BENTA|BIMP3|CARMA1|IMD11|IMD11A|PPBL	caspase recruitment domain family member 11	protein-coding
6.65-4	chr19	10228033	10228413	+	4641	NA	intron (NM_004230, intron 1 of 1)	AluSx|SINE|Alu	-2190	NR_036206	100422925		NR_036206	ENSG00000264266	MIR4322	-	microRNA 4322	ncRNA
7.75-3	chrX	12667232	12667508	+	4640	NA	intron (NM_001368400, intron 3 of 15)	intron (NM_001368400, intron 3 of 15)	-123985	NM_002765	5634	Hs.654581	NM_002765	ENSG00000101911	PRPS2	PRSII	phosphoribosyl pyrophosphate synthetase 2	protein-coding
33.45	chr6	119120927	119121129	+	4639	NA	intron (NM_001288576, intron 1 of 15)	AluJr4|SINE|Alu	28165	NM_001100411	79632	Hs.443789	NM_024581	ENSG00000111879	FAM184A	C6orf60	family with sequence similarity 184 member A	protein-coding
13.76	chr2	235647969	235648517	+	4638	NA	intron (NM_001037131, intron 1 of 17)	intron (NM_001037131, intron 1 of 17)	-130322	NR_146582	27321		NR_146582		TNRC17	CAGL234	trinucleotide repeat containing 17	ncRNA
8.05-3	chr3	171479048	171479685	+	4637	NA	Intergenic	Intergenic	-18958	NR_027767	23043	Hs.34024	NM_015028	ENSG00000154310	TNIK	MRT54	TRAF2 and NCK interacting kinase	protein-coding
5.6-4	chr1	192829029	192829339	+	4636	NA	Intergenic	L1PA7|LINE|L1	20145	NM_002923	5997	Hs.78944	NM_002923	ENSG00000116741	RGS2	G0S8	regulator of G protein signaling 2	protein-coding
21.31-2	chr12	116810826	116811155	+	4635	NA	intron (NM_001109903, intron 7 of 11)	MIRb|SINE|MIR	70451	NM_003806	8739	Hs.26605	NM_003806	ENSG00000135116	HRK	DP5|HARAKIRI	harakiri, BCL2 interacting protein	protein-coding
8.01-4	chr5	3350635	3350949	+	4634	NA	Intergenic	AluJo|SINE|Alu	-102024	NR_147000	105374624	Hs.518991	NR_147000	ENSG00000249830	LINC02162	-	long intergenic non-protein coding RNA 2162	ncRNA
5.74-3	chr8	31917723	31919074	+	4633	NA	intron (NM_013962, intron 1 of 4)	L1PA3|LINE|L1	-107338	NR_104158	100856811	Hs.97362	NR_104156		NRG1-IT1	-	NRG1 intronic transcript 1	ncRNA
5.95-13	chr7	70564855	70565209	+	4632	NA	intron (NM_015570, intron 5 of 18)	AluSx4|SINE|Alu	-567112	NM_022479	64409	Hs.488591	NM_022479	ENSG00000185274	GALNT17	GALNACT17|GALNT16|GALNT20|GALNTL3|GalNAc-T17|GalNAc-T19|GalNAc-T5L|WBSCR17	polypeptide N-acetylgalactosaminyltransferase 17	protein-coding
5.89-15	chr1	217751904	217752252	+	4631	NA	intron (NM_138796, intron 6 of 10)	AluJr|SINE|Alu	33042	NR_125784	103752555	Hs.602803	NR_125784	ENSG00000234070	SPATA17-AS1	-	SPATA17 antisense RNA 1	ncRNA
9.75-5	chr8	56170590	56170930	+	4630	NA	intron (NM_002655, intron 3 of 4)	intron (NM_002655, intron 3 of 4)	40513	NM_002655	5324	Hs.14968	NM_002655	ENSG00000181690	PLAG1	PSA|SGPA|ZNF912	PLAG1 zinc finger	protein-coding
5.96-10	chr8	1544781	1545427	+	4629	NA	intron (NM_001346810, intron 4 of 14)	L1MB7|LINE|L1	76560	NR_103863	100507435	Hs.667133	NR_103863	ENSG00000253267	DLGAP2-AS1	-	DLGAP2 antisense RNA 1	ncRNA
7.34-3	chr9	91036878	91037331	+	4628	NA	Intergenic	Intergenic	38028	NR_033912	100129316	Hs.458154	NR_033912		LOC100129316	-	uncharacterized LOC100129316	ncRNA
9.96-10	chr2	31064542	31066076	+	4627	NA	intron (NM_024572, intron 1 of 14)	intron (NM_024572, intron 1 of 14)	64331	NM_001253827	79623	Hs.468058	NM_024572	ENSG00000158089	GALNT14	GALNT15|GalNac-T10|GalNac-T14	polypeptide N-acetylgalactosaminyltransferase 14	protein-coding
5.82-7	chr14	49324001	49324576	+	4626	NA	Intergenic	L2c|LINE|L2	262092	NM_001030001	6235	Hs.156367	NM_001032	ENSG00000213741	RPS29	DBA13|S29|uS14	ribosomal protein S29	protein-coding
5.96-9	chr10	112574683	112574883	+	4625	NA	intron (NM_001365712, intron 6 of 8)	intron (NM_001365712, intron 6 of 8)	-59387	NR_036177	100422909		NR_036177	ENSG00000264763	MIR4295	-	microRNA 4295	ncRNA
13.9-3	chr14	67246209	67246564	+	4624	NA	intron (NM_001256550, intron 1 of 14)	AluJr|SINE|Alu	4951	NM_001256550	64398	Hs.652312	NM_022474	ENSG00000072415	MPP5	PALS1	membrane palmitoylated protein 5	protein-coding
5.88-4	chr9	93965439	93965808	+	4623	NA	Intergenic	AluSx|SINE|Alu	9789	NR_144455	101928040	Hs.375820	NR_144455	ENSG00000235601	BARX1-DT	BARX1-AS1	BARX1 divergent transcript	ncRNA
6.83-5	chr7	142619638	142620208	+	4622	NA	intron (NM_001363538, intron 11 of 11)	AluSx|SINE|Alu	-46376	NM_001190487	100463482		NM_001190487	ENSG00000270672	MTRNR2L6	HN6	MT-RNR2 like 6	protein-coding
6.03-5	chr1	30975680	30976047	+	4621	NA	intron (NM_001020658, intron 9 of 21)	AluSx1|SINE|Alu	-7626	NR_003066	692200		NR_003066		SNORD103C	HBII-251|SNORD85	small nucleolar RNA, C/D box 103C	snoRNA
13.68-5	chr3	53288884	53289247	+	4620	NA	intron (NM_001290207, intron 6 of 7)	AluJb|SINE|Alu	-32951	NM_001258028	7086	Hs.89643	NM_001064	ENSG00000163931	TKT	HEL-S-48|HEL107|SDDHD|TK|TKT1	transketolase	protein-coding
11.92-6	chr13	24738677	24739069	+	4619	NA	Intergenic	Intergenic	-25296	NM_001184993	56163	Hs.97464	NM_031277	ENSG00000132972	RNF17	Mmip-2|SPATA23|TDRD4	ring finger protein 17	protein-coding
8.0-5	chr9	104058533	104059080	+	4618	NA	Intergenic	L1PA7|LINE|L1	33668	NR_121580	101928550	Hs.144722	NR_121580	ENSG00000270332	SMC2-AS1	-	SMC2 antisense RNA 1 (head to head)	ncRNA
5.37-3	chr12	99705179	99705509	+	4617	NA	intron (NM_152788, intron 8 of 25)	HAL1|LINE|L1	57591	NM_153364	196472	Hs.591011	NM_153364	ENSG00000180219	FAM71C	-	family with sequence similarity 71 member C	protein-coding
5.93-10	chr9	7061149	7061879	+	4616	NA	intron (NM_001353997, intron 17 of 22)	HAL1|LINE|L1	304164	NM_001353997	23081	Hs.709425	NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
12.76	chr20	59621155	59621899	+	4615	NA	intron (NM_080672, intron 1 of 12)	intron (NM_080672, intron 1 of 12)	6762	NR_040513	100506384	Hs.663924	NR_040513	ENSG00000238194	LOC100506384	-	uncharacterized LOC100506384	ncRNA
15.81	chr5	133617013	133617371	+	4614	NA	Intergenic	AluSc|SINE|Alu	-4651	NM_015082	23105	Hs.483390	NM_015082	ENSG00000053108	FSTL4	-	follistatin like 4	protein-coding
9.86-5	chr8	138313142	138314231	+	4613	NA	intron (NM_015912, intron 2 of 19)	L1MA7|LINE|L1	183575	NM_015912	51059	Hs.126024	NM_015912	ENSG00000147724	FAM135B	C8ORFK32	family with sequence similarity 135 member B	protein-coding
9.9-3	chr10	20414848	20415119	+	4612	NA	Intergenic	L1PA10|LINE|L1	-136987	NR_039822	100616383		NR_039822	ENSG00000265372	MIR4675	-	microRNA 4675	ncRNA
7.98-3	chr9	72054025	72054404	+	4611	NA	intron (NM_001128618, intron 4 of 4)	AluSp|SINE|Alu	6391	NM_001128618	138240	Hs.371235	NM_001128618	ENSG00000204669	C9orf57	-	chromosome 9 open reading frame 57	protein-coding
6.91-7	chr1	6774874	6775260	+	4610	NA	Intergenic	L2a|LINE|L2	9913	NR_149049	110841581		NR_149049		CAMTA1-DT	lncCAMTA1	CAMTA1 divergent transcript	ncRNA
5.27-2	chr2	20182271	20182588	+	4609	NA	Intergenic	MER58B|DNA|hAT-Charlie	42701	NM_002997	6382	Hs.224607	NM_002997	ENSG00000115884	SDC1	CD138|SDC|SYND1|syndecan	syndecan 1	protein-coding
7.93-4	chr16	82106290	82107037	+	4608	NA	Intergenic	Tigger7|DNA|TcMar-Tigger	63561	NM_005792	10200	Hs.344400	NM_005792	ENSG00000135698	MPHOSPH6	MPP|MPP-6|MPP6	M-phase phosphoprotein 6	protein-coding
8.0-4	chr15	72380694	72381065	+	4607	NA	Intergenic	Charlie17a|DNA|hAT-Charlie	4766	NR_027262	80072	Hs.591113	NM_025005	ENSG00000260339	HEXA-AS1	C15orf34	HEXA antisense RNA 1	ncRNA
6.51-3	chr5	135384874	135385711	+	4606	NA	intron (NM_138609, intron 2 of 8)	intron (NM_138609, intron 2 of 8)	13946	NM_138609	9555	Hs.420272	NM_004893	ENSG00000113648	H2AFY	H2A.y|H2A/y|H2AF12M|MACROH2A1.1|mH2A1|macroH2A1.2	H2A histone family member Y	protein-coding
5.53-6	chr5	31693306	31693620	+	4605	NA	intron (NM_178140, intron 1 of 24)	AluSx4|SINE|Alu	54332	NM_178140	23037	Hs.481819	NM_015022	ENSG00000133401	PDZD2	AIPC|PAPIN|PDZK3|PIN1	PDZ domain containing 2	protein-coding
6.28-4	chr2	241415595	241416144	+	4604	NA	intron (NM_014808, intron 7 of 26)	intron (NM_014808, intron 7 of 26)	59584	NM_001282984	9855	Hs.726316	NM_014808	ENSG00000006607	FARP2	FIR|FRG|PLEKHC3	FERM, ARH/RhoGEF and pleckstrin domain protein 2	protein-coding
6.01-10	chr5	109299860	109300710	+	4603	NA	intron (NR_149040, intron 3 of 3)	intron (NR_149040, intron 3 of 3)	26084	NR_149040	285638	Hs.532104	NR_149040	ENSG00000249476	LOC285638	-	uncharacterized LOC285638	ncRNA
12.71-3	chr19	35072724	35072958	+	4602	NA	TTS (NR_024561)	TTS (NR_024561)	32335	NM_182983	3249	Hs.182385	NM_002151	ENSG00000105707	HPN	TMPRSS1	hepsin	protein-coding
21.45-2	chr4	6934810	6935145	+	4601	NA	intron (NM_020773, intron 2 of 13)	AluJb|SINE|Alu	-19189	NM_001330638	57533	Hs.518611	NM_020773	ENSG00000132405	TBC1D14	-	TBC1 domain family member 14	protein-coding
5.91-12	chr8	59298404	59299539	+	4600	NA	Intergenic	Intergenic	179761	NR_149030	100505501		NR_149030		LOC100505501	-	uncharacterized LOC100505501	ncRNA
7.93-3	chr20	37982165	37982739	+	4599	NA	TTS (NM_014657)	TTS (NM_014657)	51004	NM_014657	9675	Hs.655481	NM_014657	ENSG00000101407	TTI1	KIAA0406|smg-10	TELO2 interacting protein 1	protein-coding
5.24-7	chr16	56070589	56070953	+	4598	NA	Intergenic	Arthur1|DNA|hAT-Tip100	-114740	NM_001190158	221223	Hs.350800	NM_145024	ENSG00000159398	CES5A	CAUXIN|CES4C1|CES5|CES7|HEL126	carboxylesterase 5A	protein-coding
20.72	chr3	16123289	16123979	+	4597	NA	Intergenic	AluJo|SINE|Alu	-51046	NM_001319051	117248	Hs.411308	NM_054110	ENSG00000131386	GALNT15	GALNACT15|GALNT13|GALNT7|GALNTL2|PIH5|pp-GalNAc-T15	polypeptide N-acetylgalactosaminyltransferase 15	protein-coding
13.88-3	chr20	54129691	54130175	+	4596	NA	Intergenic	Intergenic	44053	NM_000782	1591	Hs.89663	NM_000782	ENSG00000019186	CYP24A1	CP24|CYP24|HCAI|HCINF1|P450-CC24	cytochrome P450 family 24 subfamily A member 1	protein-coding
25.94	chr3	136716470	136716675	+	4595	NA	intron (NM_005862, intron 1 of 33)	AluJb|SINE|Alu	35806	NM_005862	10274	Hs.412586	NM_005862	ENSG00000118007	STAG1	MRD47|SA1|SCC3A	stromal antigen 1	protein-coding
5.84-4	chr13	52964580	52965317	+	4594	NA	Intergenic	MamGypLTR1c|LTR|Gypsy	-63865	NM_006418	10562	Hs.508113	NM_006418	ENSG00000102837	OLFM4	GC1|GW112|OLM4|OlfD|UNQ362|bA209J19.1|hGC-1|hOLfD	olfactomedin 4	protein-coding
7.37-3	chr11	79119944	79120884	+	4593	NA	intron (NM_001098816, intron 4 of 33)	intron (NM_001098816, intron 4 of 33)	281695	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
27.85	chr5	63492359	63492616	+	4592	NA	Intergenic	L1MCa|LINE|L1	469805	NM_000524	3350	Hs.247940	NM_000524	ENSG00000178394	HTR1A	5-HT-1A|5-HT1A|5HT1a|ADRB2RL1|ADRBRL1|G-21|PFMCD	5-hydroxytryptamine receptor 1A	protein-coding
5.74-2	chr10	122212570	122213297	+	4591	NA	intron (NM_206862, intron 9 of 22)	intron (NM_206862, intron 9 of 22)	49303	NM_206860	10579	Hs.501252	NM_006997	ENSG00000138162	TACC2	AZU-1|ECTACC	transforming acidic coiled-coil containing protein 2	protein-coding
6.11-2	chr9	117288667	117289020	+	4590	NA	intron (NM_014010, intron 2 of 21)	MIR3|SINE|MIR	-107642	NR_003708	100124538	Hs.693445	NR_003708	ENSG00000207268	SNORA70C	U70C	small nucleolar RNA, H/ACA box 70C	snoRNA
5.93-9	chr7	27171961	27172358	+	4589	NA	TTS (NR_046609)	TTS (NR_046609)	2161	NM_018951	3206	Hs.110637	NM_018951	ENSG00000253293	HOXA10	HOX1|HOX1.8|HOX1H|PL	homeobox A10	protein-coding
5.41-2	chr19	5762199	5762543	+	4588	NA	intron (NM_152784, intron 15 of 21)	THE1D|LTR|ERVL-MaLR	22375	NM_001134316	163154	Hs.631838	NM_153359	ENSG00000212123	PRR22	-	proline rich 22	protein-coding
6.02-5	chr9	106594000	106594698	+	4587	NA	Intergenic	AluSx|SINE|Alu	-6579	NR_107048	102465995		NR_107048	ENSG00000277889	MIR8081	hsa-mir-8081	microRNA 8081	ncRNA
6.51-2	chr18	52751643	52752627	+	4586	NA	exon (NM_005215, exon 2 of 29)	exon (NM_005215, exon 2 of 29)	411938	NM_005215	1630	Hs.162025	NM_005215	ENSG00000187323	DCC	CRC18|CRCR1|HGPPS2|IGDCC1|MRMV1|NTN1R1	DCC netrin 1 receptor	protein-coding
5.4-2	chr12	51704055	51704533	+	4585	NA	intron (NM_001369788, intron 9 of 25)	intron (NM_001369788, intron 9 of 25)	113058	NM_001177984	6334	Hs.436550	NM_014191	ENSG00000196876	SCN8A	BFIS5|CERIII|CIAT|EIEE13|MED|MYOCL2|NaCh6|Nav1.6|PN4	sodium voltage-gated channel alpha subunit 8	protein-coding
9.54-3	chr12	4538945	4539440	+	4584	NA	promoter-TSS (NM_020374)	promoter-TSS (NM_020374)	302	NM_006479	10635	Hs.730696	NM_006479	ENSG00000111247	RAD51AP1	PIR51	RAD51 associated protein 1	protein-coding
7.56-4	chr3	9428367	9428581	+	4583	NA	intron (NM_001080517, intron 2 of 22)	intron (NM_001080517, intron 2 of 22)	30774	NM_001080517	55209	Hs.288164	NM_018187	ENSG00000168137	SETD5	-	SET domain containing 5	protein-coding
8.35-2	chr17	42690939	42692381	+	4582	NA	intron (NM_003632, intron 15 of 23)	intron (NM_003632, intron 15 of 23)	9129	NM_003632	8506	Hs.408730	NM_003632	ENSG00000108797	CNTNAP1	CASPR|CHN3|CNTNAP|NRXN4|P190	contactin associated protein 1	protein-coding
5.97-13	chr2	11454010	11454442	+	4581	NA	intron (NM_001278278, intron 1 of 5)	intron (NM_001278278, intron 1 of 5)	11935	NM_198256	1876	Hs.603093	NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding
5.05-6	chr13	52601104	52601654	+	4580	NA	Intergenic	AluSz|SINE|Alu	-16146	NM_001011725	144983	Hs.447506	NM_001011724	ENSG00000139675	HNRNPA1L2	-	heterogeneous nuclear ribonucleoprotein A1 like 2	protein-coding
7.09-2	chr2	71686205	71688764	+	4579	NA	TTS (NM_001130455)	TTS (NM_001130455)	220785	NM_001130982	8291	Hs.252180	NM_003494	ENSG00000135636	DYSF	FER1L1|LGMD2B|LGMDR2|MMD1	dysferlin	protein-coding
6.71-3	chr11	45398258	45399344	+	4578	NA	Intergenic	Intergenic	27404	NR_122071	399886	Hs.559970	NR_122071	ENSG00000255267	LINC02687	-	long intergenic non-protein coding RNA 2687	ncRNA
9.0-2	chr1	154069540	154069965	+	4577	NA	intron (NM_001159484, intron 17 of 37)	L1PA6|LINE|L1	34840	NR_049883	100847024		NR_049883	ENSG00000263987	MIR5698	-	microRNA 5698	ncRNA
11.92-5	chr3	184203092	184203854	+	4576	NA	Intergenic	Intergenic	17398	NM_018358	55324	Hs.361323	NM_018358	ENSG00000161204	ABCF3	EST201864	ATP binding cassette subfamily F member 3	protein-coding
5.89-14	chr10	83926685	83927248	+	4575	NA	Intergenic	Intergenic	-212543	NM_014394	27069	Hs.352656	NM_014394	ENSG00000165678	GHITM	DERP2|HSPC282|MICS1|My021|PTD010|TMBIM5	growth hormone inducible transmembrane protein	protein-coding
5.72-3	chr1	48895423	48895825	+	4574	NA	intron (NM_001323575, intron 5 of 12)	intron (NM_001323575, intron 5 of 12)	-118655	NM_001302082	79656	Hs.475348	NM_024603	ENSG00000162373	BEND5	C1orf165	BEN domain containing 5	protein-coding
26.35-2	chr11	98628976	98629201	+	4573	NA	Intergenic	L1M7|LINE|L1	-391861	NM_014361	53942	Hs.656783	NM_014361	ENSG00000149972	CNTN5	HNB-2s|NB-2	contactin 5	protein-coding
11.94-3	chr2	26629068	26629553	+	4572	NA	intron (NM_001029881, intron 3 of 6)	intron (NM_001029881, intron 3 of 6)	12056	NM_001029881	130106	Hs.591579	NM_001029881	ENSG00000157884	CIB4	KIP4	calcium and integrin binding family member 4	protein-coding
8.92-4	chr22	32800352	32801104	+	4571	NA	promoter-TSS (NM_000362)	promoter-TSS (NM_000362)	-88	NM_000362	7078	Hs.644633	NM_000362	ENSG00000100234	TIMP3	HSMRK222|K222|K222TA2|SFD	TIMP metallopeptidase inhibitor 3	protein-coding
7.79-6	chrX	154439528	154439994	+	4570	NA	intron (NM_001493, intron 4 of 10)	MIR3|SINE|MIR	2607	NM_001493	2664	Hs.74576	NM_001493	ENSG00000203879	GDI1	1A|GDIL|MRX41|MRX48|OPHN2|RABGD1A|RABGDIA|XAP-4	GDP dissociation inhibitor 1	protein-coding
