	id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status	eccID
20	ec21	chr15:45325800-45354956_-	29157	1	cyclic	662	1879775	64.47	29167	Insertion	21
21	ec22	chr15:75938673-75945344_-	6672	1	cyclic	62	170636	25.57	6674	Insertion	22
22	ec23	chr18:39581201-39606565_-	25365	1	cyclic	296	1122437	44.25	25373	Insertion	23
23	ec24	chr5:112658104-112659403_-	1300	1	cyclic	9	12593	9.69	1302	Insertion	24
24	ec25	chr16:88882469-88896447_-	13979	1	cyclic	29	77613	5.55	14052	Insertion	25
25	ec26	chr15:98020567-98021761_-	1195	1	cyclic	48	166954	139.71	1195	No_indel	26
26	ec27	chr14:41311888-41323033_-	11146	1	cyclic	79	194109	17.42	11147	Insertion	27
27	ec28	chr18:7872438-7891644_-	19207	1	cyclic	558	1796649	93.54	19218	Insertion	28
28	ec29	chr15:81870448-81870835_-	388	1	cyclic	3	3379	8.71	388	No_indel	29
29	ec30	chr1:17825500-17826066_-	567	1	cyclic	15	76510	134.94	567	No_indel	30
30	ec31	chr2:119761926-119784320_-	22395	1	cyclic	134	429971	19.2	22420	Insertion	31
31	ec32	chr16:39941343-39955887_-	14545	1	cyclic	110	217845	14.98	14567	Insertion	32
32	ec33	chr11:43912706-43919229_-	6524	1	cyclic	97	260079	39.86	6511	Deletion	33
33	ec34	chr2:125446056-125447409_+	1354	1	cyclic	86	204962	151.38	1356	Insertion	34
34	ec35	chr13:98132692-98138510_-	5819	1	cyclic	26	95142	16.35	5821	Insertion	35
35	ec36	chr5:107315854-107316846_-	993	1	cyclic	5	21421	21.57	994	Insertion	36
36	ec37	chr17:6792494-6809383_-	16890	1	cyclic	182	721303	42.71	16891	Insertion	37
37	ec38	chr18:77152291-77165533_-	13243	1	cyclic	506	1534937	115.91	13254	Insertion	38
38	ec39	chr18:34601527-34606712_-	5186	1	cyclic	11	45767	8.83	5189	Insertion	39
39	ec40	chr2:79996292-79996946_-	655	1	cyclic	3	7473	11.41	656	Insertion	40
40	ec41	chrX:70457888-70462460_-	4573	1	cyclic	76	179310	39.21	4573	No_indel	41
41	ec42	chr18:71373995-71380187_-	6193	1	cyclic	27	114133	18.43	6193	No_indel	42
42	ec43	chr11:59789987-59793859_-	3873	1	cyclic	55	131263	33.89	3874	Insertion	43
43	ec44	chr5:21297967-21300075_-	2109	1	cyclic	73	173278	82.16	2116	Insertion	44
44	ec45	chr7:133675686-133680291_-	4606	1	cyclic	52	129646	28.15	4608	Insertion	45
45	ec46	chr17:5158709-5165405_-	6697	1	cyclic	47	112487	16.8	6705	Insertion	46
46	ec47	chr7:80999300-81001454_-	2155	1	cyclic	16	37423	17.37	2156	Insertion	47
47	ec48	chr9:94145777-94148090_-	2314	1	cyclic	21	44576	19.26	2315	Insertion	48
48	ec49	chr15:37035853-37044829_-	8977	1	cyclic	31	106179	11.83	8979	Insertion	49
49	ec50	chr2:151529270-151530373_-	1104	1	cyclic	7	13351	12.09	1104	No_indel	50
50	ec51	chr3:87685559-87687369_-	1811	1	cyclic	6	14762	8.15	1827	Insertion	51
51	ec52	chr2:11249381-11249797_+	417	1	cyclic	640	1738483	4169.02	417	No_indel	52
52	ec53	chr1:140998451-141005607_-	7157	1	cyclic	359	1051830	146.97	7160	Insertion	53
53	ec54	chr6:77961475-77971058_+	9584	1	cyclic	21	52910	5.52	9604	Insertion	54
54	ec55	chrX:142377164-142381561_-	4398	1	cyclic	35	88122	20.04	4398	No_indel	55
55	ec56	chr2:145396817-145407364_-	10548	1	cyclic	30	99914	9.47	10547	Deletion	56
56	ec57	chr7:135024026-135032052_-	8027	1	cyclic	13	33095	4.12	8039	Insertion	57
57	ec58	chr9:80631595-80632541_-	947	1	cyclic	70	205800	217.32	947	No_indel	58
58	ec59	chr12:79071057-79087925_-	16869	1	cyclic	296	1226177	72.69	16875	Insertion	59
59	ec60	chr14:67311974-67317120_-	5147	1	cyclic	30	56393	10.96	5132	Deletion	60
60	ec61	chr11:94622852-94650732_-	27881	1	cyclic	57	219586	7.88	27903	Insertion	61
61	ec62	chr6:109290602-109291712_-	1111	1	cyclic	5	13442	12.1	1111	No_indel	62
62	ec63	chr4:74473242-74477523_-	4282	1	cyclic	6	18493	4.32	4282	No_indel	63
63	ec64	chr7:49299893-49304510_-	4618	1	cyclic	6	14220	3.08	4648	Insertion	64
64	ec65	chr3:28027600-28040041_-	12442	1	cyclic	236	875646	70.38	12450	Insertion	65
65	ec66	chr10:21337530-21347883_+	10354	1	cyclic	169	532721	51.45	10359	Insertion	66
66	ec67	chr7:56429392-56431705_-	2314	1	cyclic	21	34003	14.69	2318	Insertion	67
67	ec68	chr2:91253393-91253765_+	373	1	cyclic	3	9671	25.93	373	No_indel	68
68	ec69	chr13:54836958-54863544_-	26587	1	cyclic	59	213081	8.01	26614	Insertion	69
69	ec70	chr4:134916501-134926913_-	10413	1	cyclic	121	342706	32.91	10421	Insertion	70
70	ec71	chr14:39336821-39347629_-	10809	1	cyclic	41	129269	11.96	10819	Insertion	71
71	ec72	chr5:99880023-99880525_-	503	1	cyclic	17	25003	49.71	503	No_indel	72
72	ec73	chr2:154453626-154467651_-	14026	1	cyclic	465	1522450	108.54	14201	Insertion	73
73	ec74	chr10:129920363-129928797_-	8435	1	cyclic	29	89129	10.57	8435	No_indel	74
75	ec76	chr3:145881664-145883868_-	2205	1	cyclic	36	105732	47.95	2205	No_indel	76
76	ec77	chr1:79627153-79628855_-	1703	1	cyclic	12	22089	12.97	1703	No_indel	77
77	ec78	chr18:68303896-68306759_-	2864	1	cyclic	7	19108	6.67	2866	Insertion	78
78	ec79	chr15:53203201-53212770_-	9570	1	cyclic	19	65563	6.85	9569	Deletion	79
79	ec80	chr15:77750243-77757092_-	6850	1	cyclic	295	828139	120.9	6852	Insertion	80
80	ec81	chr15:97524783-97534836_-	10054	1	cyclic	84	217708	21.65	10067	Insertion	81
81	ec82	chr5:80805741-80819828_-	14088	1	cyclic	68	156349	11.1	14191	Insertion	82
82	ec83	chr2:130487744-130496985_-	9242	1	cyclic	21	99924	10.81	9341	Insertion	83
83	ec84	chr9:99278138-99282467_-	4330	1	cyclic	55	132449	30.59	4332	Insertion	84
84	ec85	chr1:160734417-160738927_-	4511	1	cyclic	14	21246	4.71	4524	Insertion	85
85	ec86	chr1:192346496-192348707_-	2212	1	cyclic	45	121102	54.75	2212	No_indel	86
86	ec87	chr15:97350235-97351394_-	1160	1	cyclic	8	8213	7.08	1161	Insertion	87
87	ec88	chr11:14761539-14765548_-	4010	1	cyclic	36	104875	26.15	4011	Insertion	88
88	ec89	chr6:27111055-27123670_-	12616	1	cyclic	88	301715	23.92	12623	Insertion	89
89	ec90	chr16:30813122-30826973_-	13852	1	cyclic	72	219688	15.86	13838	Deletion	90
90	ec91	chrX:138970811-138980740_-	9930	1	cyclic	145	471082	47.44	9935	Insertion	91
91	ec92	chr14:64194112-64204606_-	10495	1	cyclic	154	460469	43.88	10514	Insertion	92
92	ec93	chr8:92329493-92342990_-	13498	1	cyclic	56	205059	15.19	13502	Insertion	93
93	ec94	chr11:67613971-67615872_-	1902	1	cyclic	110	304763	160.23	1902	No_indel	94
94	ec95	chrX:136543734-136545907_-	2174	1	cyclic	55	259205	119.23	2175	Insertion	95
95	ec96	chr2:141427722-141448417_-	20696	1	cyclic	721	2100311	101.48	20704	Insertion	96
96	ec97	chr5:75186902-75209167_-	22266	1	cyclic	556	2426856	108.99	22311	Insertion	97
97	ec98	chr5:29698442-29702708_-	4267	1	cyclic	158	352740	82.67	4270	Insertion	98
98	ec99	chr18:66991374-66993849_-	2476	1	cyclic	316	808286	326.45	2480	Insertion	99
99	ec100	chrX:74205026-74208422_-	3397	1	cyclic	27	77796	22.9	3397	No_indel	100
100	ec101	chr11:20321015-20329464_-	8450	1	cyclic	120	280109	33.15	8461	Insertion	101
101	ec102	chr19:4564130-4567868_-	3739	1	cyclic	11	39588	10.59	3740	Insertion	102
102	ec103	chr3:98422700-98429138_-	6439	1	cyclic	10	34737	5.39	6442	Insertion	103
103	ec104	chr6:8883591-8889712_-	6122	1	cyclic	22	65074	10.63	6125	Insertion	104
104	ec105	chr1:136631801-136639307_-	7507	1	cyclic	31	64025	8.53	7514	Insertion	105
105	ec106	chr18:43004032-43025223_-,chr18:42989767-42996711_-	28137	2	cyclic	535	1683459	59.83	28167	Insertion	106
106	ec107	chr1:145891739-145909959_-	18221	1	cyclic	82	214199	11.76	18241	Insertion	107
107	ec108	chr2:30728802-30731481_-	2680	1	cyclic	7	14885	5.55	2689	Insertion	108
108	ec109	chr8:66758553-66769080_-	10528	1	cyclic	306	803077	76.28	10537	Insertion	109
109	ec110	chr16:47123375-47125990_-	2616	1	cyclic	197	469376	179.43	2616	No_indel	110
110	ec111	chrX:40090635-40094093_-	3459	1	cyclic	84	236482	68.37	3460	Insertion	111
111	ec112	chr12:105994293-105995425_-	1133	1	cyclic	15	19802	17.48	1133	No_indel	112
112	ec113	chr13:56179799-56183580_-	3782	1	cyclic	25	64739	17.12	3782	No_indel	113
113	ec114	chr8:32134857-32135725_+	869	1	cyclic	145	355755	409.38	869	No_indel	114
115	ec116	chrX:47604231-47622666_-	18436	1	cyclic	134	449436	24.38	18444	Insertion	116
116	ec117	chr6:16878787-16885138_-	6352	1	cyclic	149	376987	59.35	6353	Insertion	117
117	ec118	chr10:23939999-23940963_-	965	1	cyclic	17	20128	20.86	965	No_indel	118
118	ec119	chr1:146001663-146011973_-	10311	1	cyclic	27	94735	9.19	10316	Insertion	119
119	ec120	chr11:43271164-43281939_-	10776	1	cyclic	223	638206	59.22	10776	No_indel	120
120	ec121	chr12:30604757-30623613_-	18857	1	cyclic	86	256115	13.58	18863	Insertion	121
121	ec122	chr5:16146735-16152698_-	5964	1	cyclic	13	50191	8.42	5966	Insertion	122
122	ec123	chr14:21521889-21535637_-	13749	1	cyclic	46	106103	7.72	13768	Insertion	123
123	ec124	chr6:118700739-118711415_-	10677	1	cyclic	206	590496	55.31	10686	Insertion	124
124	ec125	chr5:140696012-140696939_-,chr4:38200465-38201248_-	1712	2	cyclic	43	114293	66.76	1709	Deletion	125
125	ec126	chr1:186229138-186239955_-	10818	1	cyclic	77	174138	16.1	10828	Insertion	126
126	ec127	chr17:68371899-68386196_-	14298	1	cyclic	88	308738	21.59	14302	Insertion	127
127	ec128	chr17:34425084-34436942_-	11859	1	cyclic	143	504465	42.54	11861	Insertion	128
128	ec129	chr3:107874142-107899108_-	24967	1	cyclic	263	994424	39.83	24990	Insertion	129
129	ec130	chr12:22100080-22106432_-	6353	1	cyclic	63	173053	27.24	6352	Deletion	130
130	ec131	chr10:79912033-79913412_-	1380	1	cyclic	9	22033	15.97	1380	No_indel	131
131	ec132	chr14:18996583-19000760_-	4178	1	cyclic	17	46677	11.17	4187	Insertion	132
132	ec133	chr9:60862317-60863731_-	1415	1	cyclic	803	1953451	1380.53	1415	No_indel	133
133	ec134	chr2:130410719-130413093_-	2375	1	cyclic	17	31018	13.06	2381	Insertion	134
134	ec135	chr6:86104843-86112897_-	8055	1	cyclic	93	341802	42.43	8060	Insertion	135
135	ec136	chr7:7332898-7346539_-	13642	1	cyclic	122	429780	31.5	13645	Insertion	136
136	ec137	chr10:102302634-102317292_-	14659	1	cyclic	178	477195	32.55	14667	Insertion	137
137	ec138	chr19:60620393-60621651_-	1259	1	cyclic	4	10360	8.23	1260	Insertion	138
138	ec139	chr3:134168335-134170278_-	1944	1	cyclic	7	13175	6.78	1945	Insertion	139
139	ec140	chr15:84802898-84814604_-	11707	1	cyclic	36	82271	7.03	11717	Insertion	140
140	ec141	chr10:104256435-104263659_-	7225	1	cyclic	123	243672	33.73	7225	No_indel	141
141	ec142	chrX:18051418-18052021_-	604	1	cyclic	42	86574	143.33	604	No_indel	142
142	ec143	chr6:75414752-75430884_-	16133	1	cyclic	137	296723	18.39	16134	Insertion	143
143	ec144	chr5:67648483-67654934_-	6452	1	cyclic	27	81149	12.58	6456	Insertion	144
144	ec145	chr2:58749405-58752656_+	3252	1	cyclic	9	30776	9.46	3252	No_indel	145
145	ec146	chr8:29103442-29104022_-	581	1	cyclic	5	40857	70.32	582	Insertion	146
146	ec147	chr15:76122297-76123713_-	1417	1	cyclic	2	16882	11.91	1417	No_indel	147
147	ec148	chr17:35495851-35509313_-	13463	1	cyclic	46	199586	14.82	13496	Insertion	148
148	ec149	chr13:63154291-63161527_-	7237	1	cyclic	19	91126	12.59	7238	Insertion	149
149	ec150	chr2:94476989-94484002_-	7014	1	cyclic	23	100074	14.27	7017	Insertion	150
150	ec151	chr8:123029754-123030335_-	582	1	cyclic	3	24872	42.74	582	No_indel	151
151	ec152	chr15:3424697-3428303_-	3607	1	cyclic	31	156941	43.51	3607	No_indel	152
152	ec153	chr6:98786437-98797116_-	10680	1	cyclic	149	461742	43.23	10691	Insertion	153
153	ec154	chr1:190251562-190260482_-	8921	1	cyclic	159	546905	61.31	8925	Insertion	154
154	ec155	chr16:44429719-44442592_-	12874	1	cyclic	87	304283	23.64	12874	No_indel	155
155	ec156	chr7:84084587-84090999_-	6413	1	cyclic	31	80675	12.58	6423	Insertion	156
156	ec157	chr2:153827960-153831646_-	3687	1	cyclic	22	50430	13.68	3688	Insertion	157
157	ec158	chr3:13935723-13937079_-	1357	1	cyclic	5	9731	7.17	1357	No_indel	158
158	ec159	chr10:93044221-93046923_-	2703	1	cyclic	41	122517	45.33	2703	No_indel	159
159	ec160	chr12:75516352-75518578_-	2227	1	cyclic	43	108825	48.87	2226	Deletion	160
160	ec161	chr5:120746252-120747061_-	810	1	cyclic	10	22926	28.3	810	No_indel	161
161	ec162	chrX:159924918-159928907_-	3990	1	cyclic	18	64120	16.07	3978	Deletion	162
162	ec163	chr7:88471612-88479750_+	8139	1	cyclic	182	511037	62.79	8144	Insertion	163
163	ec164	chr16:92273250-92276359_-	3110	1	cyclic	40	130273	41.89	3110	No_indel	164
164	ec165	chr9:62738105-62740307_-	2203	1	cyclic	8	16931	7.69	2203	No_indel	165
165	ec166	chr3:109008276-109020622_-	12347	1	cyclic	376	1160990	94.03	12357	Insertion	166
166	ec167	chr1:15587141-15594927_-	7787	1	cyclic	31	112014	14.38	7788	Insertion	167
167	ec168	chr11:86499816-86511849_-	12034	1	cyclic	150	430153	35.74	12048	Insertion	168
168	ec169	chr1:37163251-37166070_-	2820	1	cyclic	25	49807	17.66	2820	No_indel	169
169	ec170	chr5:135515951-135520082_-	4132	1	cyclic	11	25688	6.22	4134	Insertion	170
170	ec171	chr11:120639919-120644986_-	5068	1	cyclic	39	109057	21.52	5069	Insertion	171
171	ec172	chr6:87811347-87831348_-	20002	1	cyclic	32	146519	7.33	20098	Insertion	172
172	ec173	chr6:5994329-6005894_-	11566	1	cyclic	178	667227	57.69	11571	Insertion	173
173	ec174	chr5:79854954-79859837_-,chr5:79839560-79848088_-	13413	2	cyclic	23	48135	3.59	13463	Insertion	174
174	ec175	chr18:79109699-79110824_-	1126	1	cyclic	6	33937	30.14	1125	Deletion	175
175	ec176	chr4:103172727-103187363_-	14637	1	cyclic	155	535363	36.58	14645	Insertion	176
176	ec177	chr11:20348567-20363067_-	14501	1	cyclic	177	620368	42.78	14509	Insertion	177
177	ec178	chr3:10442362-10448639_-	6278	1	cyclic	55	147853	23.55	6284	Insertion	178
178	ec179	chr7:100440441-100451847_-	11407	1	cyclic	62	221638	19.43	11413	Insertion	179
179	ec180	chr12:28792172-28797607_-	5436	1	cyclic	54	139945	25.74	5436	No_indel	180
180	ec181	chr6:137676337-137682859_-	6523	1	cyclic	66	265160	40.65	6523	No_indel	181
181	ec182	chr18:73329978-73334249_-	4272	1	cyclic	84	214599	50.23	4273	Insertion	182
182	ec183	chr2:138658268-138670330_-	12063	1	cyclic	33	129939	10.77	12062	Deletion	183
183	ec184	chr13:47790316-47803018_-	12703	1	cyclic	42	124719	9.82	12705	Insertion	184
184	ec185	chrX:16674991-16683864_-	8874	1	cyclic	122	311658	35.12	8875	Insertion	185
185	ec186	chr9:66900924-66910100_-	9177	1	cyclic	45	153482	16.72	9173	Deletion	186
186	ec187	chr15:73628508-73629438_-	931	1	cyclic	26	64623	69.41	931	No_indel	187
187	ec188	chr17:41694328-41703540_-	9213	1	cyclic	38	63018	6.84	9235	Insertion	188
188	ec189	chr11:80850896-80857740_-	6845	1	cyclic	50	158267	23.12	6816	Deletion	189
189	ec190	chr13:37536134-37540587_-	4454	1	cyclic	13	35937	8.07	4392	Deletion	190
190	ec191	chr1:118957964-118959517_-	1554	1	cyclic	9	27063	17.42	1554	No_indel	191
191	ec192	chr5:110112132-110139706_-	27575	1	cyclic	239	982851	35.64	27158	Deletion	192
192	ec193	chr8:83772704-83775327_-	2624	1	cyclic	4	18371	7.0	2638	Insertion	193
193	ec194	chr3:104959513-104977778_-	18266	1	cyclic	55	202517	11.09	18280	Insertion	194
194	ec195	chr3:38982689-38985415_-	2727	1	cyclic	115	290631	106.58	2727	No_indel	195
195	ec196	chr16:9780390-9786614_-	6225	1	cyclic	20	46757	7.51	6231	Insertion	196
196	ec197	chr15:80510842-80515916_-	5075	1	cyclic	89	240002	47.29	5075	No_indel	197
197	ec198	chr15:61989401-62002857_-	13457	1	cyclic	89	341152	25.35	13463	Insertion	198
198	ec199	chr3:64979199-64992080_-	12882	1	cyclic	40	82787	6.43	12906	Insertion	199
199	ec200	chr1:109042254-109059017_-	16764	1	cyclic	91	311408	18.58	16777	Insertion	200
200	ec201	chr15:55014558-55020644_-	6087	1	cyclic	70	194426	31.94	6091	Insertion	201
201	ec202	chr9:9158644-9165001_-	6358	1	cyclic	32	87865	13.82	6363	Insertion	202
202	ec203	chr13:28989048-28991311_-	2264	1	cyclic	20	59542	26.3	2263	Deletion	203
203	ec204	chr15:66967183-66970650_-	3468	1	cyclic	18	33204	9.57	3468	No_indel	204
204	ec205	chr2:154373618-154377242_-	3625	1	cyclic	22	37948	10.47	3626	Insertion	205
205	ec206	chr7:113433825-113437644_-	3820	1	cyclic	9	21814	5.71	3826	Insertion	206
206	ec207	chr7:79201323-79205291_-	3969	1	cyclic	16	69699	17.56	3970	Insertion	207
207	ec208	chr4:129214241-129221648_-	7408	1	cyclic	15	56130	7.58	7413	Insertion	208
208	ec209	chr8:38273316-38276259_-	2944	1	cyclic	22	51677	17.55	2944	No_indel	209
209	ec210	chr6:44224960-44244125_-	19166	1	cyclic	252	633964	33.08	19179	Insertion	210
210	ec211	chr15:33798861-33801051_-	2191	1	cyclic	8	16775	7.66	2188	Deletion	211
211	ec212	chr5:138335146-138357697_-	22552	1	cyclic	550	1858569	82.41	22535	Deletion	212
212	ec213	chr2:14406784-14410852_-	4069	1	cyclic	27	86318	21.21	4072	Insertion	213
213	ec214	chrX:68775349-68777159_-	1811	1	cyclic	4	16357	9.03	1811	No_indel	214
214	ec215	chr1:58523955-58537640_-	13686	1	cyclic	400	1052129	76.88	13702	Insertion	215
215	ec216	chr4:4810867-4818693_-	7827	1	cyclic	16	34070	4.35	7851	Insertion	216
216	ec217	chr1:120567559-120568664_-	1106	1	cyclic	5	10708	9.68	1108	Insertion	217
217	ec218	chr3:5243383-5246337_-	2955	1	cyclic	28	82833	28.03	2955	No_indel	218
218	ec219	chr7:132613490-132620006_-	6517	1	cyclic	13	48577	7.45	6522	Insertion	219
219	ec220	chr6:112255498-112271473_-	15976	1	cyclic	208	641198	40.14	15927	Deletion	220
220	ec221	chr8:22906078-22907134_-	1057	1	cyclic	182	435612	412.12	1057	No_indel	221
221	ec222	chr11:53955736-53971036_-	15301	1	cyclic	47	103558	6.77	15318	Insertion	222
222	ec223	chr3:107155277-107169184_-	13908	1	cyclic	148	547440	39.36	13432	Deletion	223
223	ec224	chr7:93376980-93379958_-	2979	1	cyclic	9	35833	12.03	2983	Insertion	224
224	ec225	chr10:20965046-20988579_-	23534	1	cyclic	245	792810	33.69	23547	Insertion	225
225	ec226	chr8:83356686-83357280_-	595	1	cyclic	4	21407	35.98	595	No_indel	226
226	ec227	chr3:115949569-115955519_-	5951	1	cyclic	108	347452	58.39	5952	Insertion	227
227	ec228	chr14:51915002-51915318_-	317	1	cyclic	1	10521	33.19	317	No_indel	228
228	ec229	chr2:28928839-28936439_-	7601	1	cyclic	25	79504	10.46	7605	Insertion	229
229	ec230	chr10:56876944-56880055_-	3112	1	cyclic	19	51494	16.55	3112	No_indel	230
230	ec231	chr15:76259749-76260488_-	740	1	cyclic	5	23314	31.51	738	Deletion	231
231	ec232	chr2:73546683-73549138_+	2456	1	cyclic	47	115215	46.91	2456	No_indel	232
232	ec233	chr3:105008732-105014191_-	5460	1	cyclic	29	116311	21.3	5460	No_indel	233
233	ec234	chr1:24508433-24512597_+	4165	1	cyclic	4	35284	8.47	4226	Insertion	234
234	ec235	chr5:100433017-100438033_-	5017	1	cyclic	37	102310	20.39	5023	Insertion	235
235	ec236	chr12:84892003-84898772_-	6770	1	cyclic	34	136379	20.14	6775	Insertion	236
236	ec237	chr3:49855568-49861017_-	5450	1	cyclic	54	174266	31.98	5450	No_indel	237
237	ec238	chr6:135016424-135025570_-	9147	1	cyclic	55	183935	20.11	9193	Insertion	238
238	ec239	chr7:89318756-89327093_-	8338	1	cyclic	277	831204	99.69	8345	Insertion	239
239	ec240	chr18:32623166-32627287_-	4122	1	cyclic	32	91203	22.13	4124	Insertion	240
240	ec241	chr11:75620497-75626847_-	6351	1	cyclic	75	179755	28.3	6356	Insertion	241
241	ec242	chr7:119842911-119843610_-	700	1	cyclic	5	5068	7.24	700	No_indel	242
242	ec243	chr10:71154191-71159487_-	5297	1	cyclic	108	269913	50.96	5305	Insertion	243
243	ec244	chr16:87467837-87477294_-	9458	1	cyclic	79	212895	22.51	9460	Insertion	244
244	ec245	chr14:62134345-62135577_-	1233	1	cyclic	7	24240	19.66	1233	No_indel	245
245	ec246	chr8:29265810-29270126_-	4317	1	cyclic	17	33887	7.85	4318	Insertion	246
246	ec247	chr7:66701572-66717425_-	15854	1	cyclic	385	1415840	89.3	15875	Insertion	247
247	ec248	chr17:14671028-14676750_-	5723	1	cyclic	161	467862	81.75	5726	Insertion	248
249	ec250	chr10:82672777-82685006_-	12230	1	cyclic	72	238486	19.5	12243	Insertion	250
250	ec251	chr7:30212112-30218091_-	5980	1	cyclic	24	84406	14.11	5983	Insertion	251
251	ec252	chr12:100843043-100852081_-	9039	1	cyclic	68	327856	36.27	9043	Insertion	252
252	ec253	chr15:26969949-26974797_-	4849	1	cyclic	29	100483	20.72	4855	Insertion	253
253	ec254	chr5:97056803-97065875_-	9073	1	cyclic	283	1031068	113.64	9078	Insertion	254
254	ec255	chr3:85348832-85350811_-	1980	1	cyclic	73	200899	101.46	1982	Insertion	255
255	ec256	chr14:31403955-31410851_-	6897	1	cyclic	17	59903	8.69	6903	Insertion	256
256	ec257	chr6:89025521-89029015_-	3495	1	cyclic	32	65234	18.66	3495	No_indel	257
257	ec258	chr9:46626054-46630651_-	4598	1	cyclic	36	90507	19.68	4598	No_indel	258
258	ec259	chr10:34026439-34029633_-	3195	1	cyclic	5	29459	9.22	3197	Insertion	259
259	ec260	chr4:93642740-93646000_-	3261	1	cyclic	3	17895	5.49	3261	No_indel	260
260	ec261	chr4:104657942-104683739_-	25798	1	cyclic	105	329923	12.79	25739	Deletion	261
261	ec262	chr10:121714960-121734493_-	19534	1	cyclic	233	653339	33.45	19548	Insertion	262
262	ec263	chr4:83295668-83304688_-	9021	1	cyclic	93	344449	38.18	8650	Deletion	263
263	ec264	chr15:100546284-100553408_-	7125	1	cyclic	108	370907	52.06	7126	Insertion	264
264	ec265	chr6:47526718-47528225_-	1508	1	cyclic	10	19912	13.2	1508	No_indel	265
265	ec266	chr12:108946148-108952315_-	6168	1	cyclic	23	106187	17.22	6173	Insertion	266
266	ec267	chr8:111777610-111788460_-	10851	1	cyclic	51	147114	13.56	10969	Insertion	267
267	ec268	chr1:166082986-166091200_-	8215	1	cyclic	11	64788	7.89	8215	No_indel	268
268	ec269	chr13:101720989-101723512_-	2524	1	cyclic	3	12764	5.06	2526	Insertion	269
269	ec270	chr3:38824531-38833787_-	9257	1	cyclic	40	147214	15.9	9257	No_indel	270
270	ec271	chr7:136054048-136078360_-	24313	1	cyclic	159	678525	27.91	24334	Insertion	271
271	ec272	chr3:20917933-20932822_-	14890	1	cyclic	78	210364	14.13	14896	Insertion	272
272	ec273	chr4:57721539-57723589_-	2051	1	cyclic	64	117026	57.06	2053	Insertion	273
273	ec274	chr19:55869264-55872264_-	3001	1	cyclic	21	48019	16.0	3003	Insertion	274
274	ec275	chr11:54752124-54754979_-	2856	1	cyclic	5	26118	9.14	2861	Insertion	275
275	ec276	chr12:65214724-65223040_-	8317	1	cyclic	122	401061	48.22	8329	Insertion	276
276	ec277	chr18:37324758-37340691_-	15934	1	cyclic	193	537875	33.76	15287	Deletion	277
278	ec279	chr6:32915236-32920322_-	5087	1	cyclic	7	17804	3.5	5097	Insertion	279
279	ec280	chr6:33379544-33383767_-	4224	1	cyclic	36	55084	13.04	4225	Insertion	280
280	ec281	chr3:6912574-6923705_-	11132	1	cyclic	36	107363	9.64	11138	Insertion	281
281	ec282	chr9:73006956-73020194_-	13239	1	cyclic	34	159146	12.02	13248	Insertion	282
282	ec283	chr5:4825459-4832583_-	7125	1	cyclic	108	244974	34.38	7113	Deletion	283
283	ec284	chr10:23685136-23689820_-	4685	1	cyclic	27	82998	17.72	4684	Deletion	284
284	ec285	chr16:69589469-69605344_-	15876	1	cyclic	346	767711	48.36	15876	No_indel	285
285	ec286	chrX:153433782-153436706_-	2925	1	cyclic	143	353671	120.91	2926	Insertion	286
286	ec287	chr9:101182348-101191645_-	9298	1	cyclic	87	231187	24.86	9324	Insertion	287
