PeakID (cmd=annotatePeaks.pl /home/qukun/minghaofang/workspace/project/ecc/paper_data_final/03.analysis/cresil/MLOY4/ecc_pipe_result/cresil_result.analysis.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
9.62-7	chr5	128642055	128643081	+	8404	NA	Intergenic	L2|LINE|L2	41462	NM_175284	93897	Mm.197628	NM_175284	ENSMUSG00000081683	Fzd10	Fz-10	frizzled class receptor 10	protein-coding
13.94-6	chr13	55709349	55710369	+	8403	NA	Intergenic	Intergenic	-4791	NM_175150	69672	Mm.294457	NM_175150	ENSMUSG00000021497	Txndc15	2310047H23Rik|AI854086|C5orf14|UNQ335	thioredoxin domain containing 15	protein-coding
15.25	chr18	65380515	65381096	+	8402	NA	intron (NM_001037294, intron 1 of 12)	intron (NM_001037294, intron 1 of 12)	13083	NM_001037294	225638	Mm.296528	NM_001037294	ENSMUSG00000032845	Alpk2	Gm549|Hak	alpha-kinase 2	protein-coding
5.13-5	chr15	47106702	47107365	+	8401	NA	Intergenic	RMER16-int|LTR|ERVK	483728	NR_045811	75281	Mm.159487	NR_045811	ENSMUSG00000051198	4930548G14Rik	-	RIKEN cDNA 4930548G14 gene	ncRNA
82.39	chr8	74846527	74846760	+	8400	NA	Intergenic	Intergenic	-26531	NM_001294278	71597	Mm.158735	NM_027837	ENSMUSG00000031621	Isx	9130012O13Rik|Pix-1	intestine specific homeobox	protein-coding
7.75-7	chr3	116327207	116327991	+	8399	NA	intron (NM_001080818, intron 9 of 15)	intron (NM_001080818, intron 9 of 15)	26645	NM_001355646	229776	Mm.17647	NM_001080818	ENSMUSG00000033502	Cdc14a	A830059A17Rik|CDC14A2|CDC14a1|Cdc14	CDC14 cell division cycle 14A	protein-coding
6.26-9	chr19	27150425	27155548	+	8398	NA	Intergenic	ORR1A3|LTR|ERVL-MaLR	-63498	NM_001347441	22359	Mm.4141	NM_013703	ENSMUSG00000024924	Vldlr	AA408956|AI451093|AW047288	very low density lipoprotein receptor	protein-coding
9.06-3	chr1	192504878	192506191	+	8397	NA	exon (NM_010600, exon 11 of 11)	exon (NM_010600, exon 11 of 11)	265685	NM_144881	226861	Mm.145857	NM_144881	ENSMUSG00000037375	Hhat	2810432O22Rik|AI462858|AP-2CRE|Skn|Tg(TFAP2A-cre)1Will	hedgehog acyltransferase	protein-coding
96.58	chr4	18507009	18507292	+	8396	NA	Intergenic	Intergenic	615400	NM_001371269								
8.76-3	chr8	13913654	13914450	+	8395	NA	intron (NM_001359061, intron 1 of 10)	intron (NM_001359061, intron 1 of 10)	6313	NM_001347316	66822	Mm.37950	NM_025785	ENSMUSG00000038365	Fbxo25	9130015I06Rik|AI649137|Fbx25	F-box protein 25	protein-coding
15.85-5	chr1	159885685	159886243	+	8394	NA	intron (NM_022312, intron 10 of 22)	ID_B1|SINE|B4	-158416	NR_028111	67647	Mm.171518	NM_001024470	ENSMUSG00000090394	4930523C07Rik	-	RIKEN cDNA 4930523C07 gene	protein-coding
15.72-2	chr3	146121392	146121702	+	8393	NA	promoter-TSS (NM_134160)	promoter-TSS (NM_134160)	-244	NM_134160	171166	Mm.114683	NM_134160	ENSMUSG00000036853	Mcoln3	6720490O21Rik|TRPML3|Va	mucolipin 3	protein-coding
7.89-11	chr8	125623817	125625690	+	8392	NA	Intergenic	Intergenic	40115	NR_015535	75930	Mm.195663	NR_015535	ENSMUSG00000110629	4930567H12Rik	4930579P07Rik	RIKEN cDNA 4930567H12 gene	ncRNA
7.88-10	chr9	65361247	65362214	+	8391	NA	intron (NM_001111145, intron 1 of 6)	intron (NM_001111145, intron 1 of 6)	670	NM_001111145	208080	Mm.291862	NM_001111145	ENSMUSG00000086228	Ubap1l	Gm514	ubiquitin-associated protein 1-like	protein-coding
6.66-9	chr1	62376155	62376893	+	8390	NA	intron (NM_001081050, intron 18 of 22)	intron (NM_001081050, intron 18 of 22)	-240415	NR_151537	105243940		NR_151537		Pard3bos2	Gm12747	par-3 family cell polarity regulator beta, opposite strand 2	ncRNA
25.88-3	chr3	68706556	68707246	+	8389	NA	Intergenic	Intergenic	15477	NM_008351	16159	Mm.103783	NM_008351	ENSMUSG00000027776	Il12a	IL-12p35|Il-12a|Ll12a|p35	interleukin 12a	protein-coding
11.88-5	chr6	145781488	145782011	+	8388	NA	intron (NM_027760, intron 1 of 4)	intron (NM_027760, intron 1 of 4)	34962	NM_027760	71323	Mm.158669	NM_027760	ENSMUSG00000030259	Rassf8	5133400D11Rik|AA815821|AW123240|Hoj1|mHoj-1	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	protein-coding
33.53	chr7	104341173	104342332	+	8387	NA	intron (NM_175677, intron 6 of 7)	intron (NM_175677, intron 6 of 7)	11597	NM_175677	319236	Mm.425502	NM_175677	ENSMUSG00000057143	Trim12c	9230105E10Rik|Trim12-2	tripartite motif-containing 12C	protein-coding
18.21-4	chr10	119361027	119361876	+	8386	NA	Intergenic	Intergenic	41217	NR_126086	74905	Mm.399357	NR_126085	ENSMUSG00000112155	4930477N07Rik	-	RIKEN cDNA 4930477N07 gene	ncRNA
4.9-6	chr11	80277052	80280007	+	8385	NA	Intergenic	Intergenic	-22383	NM_139228	246104	Mm.194148	NM_139228	ENSMUSG00000017692	Rhbdl3	AI847581|Rhbdl4|Rhomr1|Vrho	rhomboid like 3	protein-coding
7.96-13	chr5	37922194	37923124	+	8384	NA	Intergenic	Intergenic	28887	NR_153822	102637176	Mm.332343	NR_153822		Gm20052	Gm34055	predicted gene, 20052	ncRNA
37.83-2	chr18	80650147	80650487	+	8383	NA	intron (NM_001164112, intron 7 of 9)	intron (NM_001164112, intron 7 of 9)	57856	NM_016791	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding
18.8-3	chr3	78340893	78341866	+	8382	NA	Intergenic	RMER1A|Other|Other	804367	NM_001310536	76089	Mm.31220	NM_001099624	ENSMUSG00000062232	Rapgef2	5830453M24Rik|CNRasGEF|Pdzgef1|RA-GEF-1|mKIAA0313|nRapGEP	Rap guanine nucleotide exchange factor (GEF) 2	protein-coding
59.32	chr12	21412282	21412641	+	8381	NA	intron (NM_011739, intron 1 of 4)	B1_Mus1|SINE|Alu	4975	NM_011739	22630	Mm.289630	NM_011739	ENSMUSG00000076432	Ywhaq	2700028P07Rik|AA409740|AU021156|R74690	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	protein-coding
11.94-8	chr17	25485008	25485391	+	8380	NA	Intergenic	Intergenic	12089	NM_011425	20609	Mm.353282	NM_011425	ENSMUSG00000050824	Sstr5	Smstr5|sst5	somatostatin receptor 5	protein-coding
14.74-2	chr15	74531770	74534536	+	8379	NA	intron (NM_174991, intron 2 of 30)	intron (NM_174991, intron 2 of 30)	16957	NM_001359759	107831	Mm.43133	NM_174991	ENSMUSG00000034730	Adgrb1	B830018M07Rik|Bai1|R75078|mKIAA4089	adhesion G protein-coupled receptor B1	protein-coding
15.43-6	chr4	120105050	120106022	+	8378	NA	intron (NM_010657, intron 5 of 8)	intron (NM_010657, intron 5 of 8)	-55670	NM_007902	13615	Mm.284855	NM_007902	ENSMUSG00000028635	Edn2	ET-2|PPET2|VIC	endothelin 2	protein-coding
12.17-2	chr13	104475687	104477011	+	8377	NA	intron (NM_001081020, intron 22 of 24)	intron (NM_001081020, intron 22 of 24)	188514	NR_136938	108154	Mm.208125	NM_175496	ENSMUSG00000046169	Adamts6	A930019D11Rik|ADAM-TS6|b2b1879.1Clo|b2b2029Clo|b2b2182Clo|b2b2187.1Clo|b2b2228Clo	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6	protein-coding
4.97-11	chr2	44291927	44292701	+	8376	NA	intron (NM_001364029, intron 11 of 12)	MTC|LTR|ERVL-MaLR	-226990	NR_040622	320872	Mm.445023	NR_040622	ENSMUSG00000085089	Arhgap15os	A430092G05Rik	Rho GTPase activating protein 15, opposite strand	ncRNA
8.17-3	chr7	6245310	6248718	+	8375	NA	Intergenic	Intergenic	-5696	NM_001177416	627821	Mm.99441	NM_001177416	ENSMUSG00000053367	Epp13	EG627821|Eddm13|Gm6792	epididymal protein 13	protein-coding
9.64-6	chr13	114270768	114272237	+	8374	NA	Intergenic	Intergenic	116592	NM_010887	17993	Mm.253142	NM_010887	ENSMUSG00000021764	Ndufs4	6720411N02Rik|C1-18k	NADH:ubiquinone oxidoreductase core subunit S4	protein-coding
45.67	chr10	59460401	59460604	+	8373	NA	intron (NM_001033259, intron 4 of 7)	intron (NM_001033259, intron 4 of 7)	-18723	NM_010959	18302	Mm.123013	NM_010959	ENSMUSG00000009654	Oit3	EF-9|LZP	oncoprotein induced transcript 3	protein-coding
23.31-2	chr13	13726366	13727307	+	8372	NA	intron (NM_010748, intron 40 of 52)	intron (NM_010748, intron 40 of 52)	-57223	NM_001302997	14706	Mm.215394	NM_010317	ENSMUSG00000021303	Gng4	-	guanine nucleotide binding protein (G protein), gamma 4	protein-coding
4.32-4	chr2	82914868	82915924	+	8371	NA	Intergenic	RMER13A2|LTR|ERVK	-28238	NM_001370266	241516	Mm.302516	NM_001370266	ENSMUSG00000075249	Fsip2	-	fibrous sheath-interacting protein 2	protein-coding
12.96-4	chr5	144596434	144597859	+	8370	NA	Intergenic	B4A|SINE|B4	51259	NM_016789	53324	Mm.10099	NM_016789	ENSMUSG00000059991	Nptx2	Narp|np2	neuronal pentraxin 2	protein-coding
8.44-8	chr8	67509482	67510760	+	8369	NA	Intergenic	B1_Mus1|SINE|Alu	-13733	NM_008674	17962	Mm.57193	NM_008674	ENSMUSG00000056426	Nat3	-	N-acetyltransferase 3	protein-coding
13.94-5	chr18	77549787	77550612	+	8368	NA	intron (NM_001164504, intron 1 of 7)	intron (NM_001164504, intron 1 of 7)	14937	NM_001164504	225743	Mm.23293	NM_001164504	ENSMUSG00000025427	Rnf165	2900024M11Rik|AI427432|Akd2|Ark2c|G630064H08Rik|Gm96	ring finger protein 165	protein-coding
9.62-6	chr12	74598196	74598901	+	8367	NA	Intergenic	Intergenic	301074	NM_198866	386753	Mm.341686	NM_198866		Dbpht2	Spot2	DNA binding protein with his-thr domain	protein-coding
5.27-7	chr1	70449629	70456065	+	8366	NA	intron (NM_025728, intron 5 of 7)	MTA_Mm|LTR|ERVL-MaLR	-272868	NM_001310658	320460	Mm.360649	NM_177164	ENSMUSG00000045648	Vwc2l	A830006F12Rik|Brl	von Willebrand factor C domain-containing protein 2-like	protein-coding
4.74-4	chr2	93434891	93437664	+	8365	NA	intron (NM_001136055, intron 3 of 9)	intron (NM_001136055, intron 3 of 9)	-14270	NR_105967	102465605		NR_105967	ENSMUSG00000099238	Mir7001	Gm27886|mmu-mir-7001	microRNA 7001	ncRNA
6.02-7	chr7	105795170	105795888	+	8364	NA	Intergenic	L1MCb|LINE|L1	-7979	NM_001162943	233651	Mm.334108	NM_001162943	ENSMUSG00000036862	Dchs1	3110041P15Rik|C130033F22Rik|CDH25|FIB1|Gm165|PCDH16	dachsous cadherin related 1	protein-coding
11.88-4	chr14	16037382	16037906	+	8363	NA	Intergenic	Intergenic	205687	NM_001359883	71147	Mm.197960	NM_027695	ENSMUSG00000021786	Oxsm	4933425A18Rik|C80494	3-oxoacyl-ACP synthase, mitochondrial	protein-coding
7.3-5	chr7	136491983	136493754	+	8362	NA	Intergenic	Intergenic	-143453	NR_040459	330664	Mm.127762	NR_040459	ENSMUSG00000109633	C230079O03Rik	C230079O03	RIKEN cDNA C230079O03 gene	ncRNA
7.73-6	chr10	66315968	66316429	+	8361	NA	Intergenic	Intergenic	170902	NR_131070	77198	Mm.107617	NR_131070	ENSMUSG00000112210	4930407I19Rik	-	RIKEN cDNA 4930407I19 gene	ncRNA
11.48-6	chr7	36010909	36011121	+	8360	NA	Intergenic	Intergenic	-208026	NM_177739	668501	Mm.286296	NM_177739	ENSMUSG00000044452	Zfp507	1810022O10Rik|A230056M16Rik|AL024009|AU021817|BB105092|Gm480|Znf507|mKIAA1084	zinc finger protein 507	protein-coding
5.98-25	chr8	35214048	35215601	+	8359	NA	Intergenic	Intergenic	-160935	NM_001364450	244416	Mm.247126	NM_177741	ENSMUSG00000046794	Ppp1r3b	6430576E21|AW821953|GL|PTG	protein phosphatase 1, regulatory subunit 3B	protein-coding
30.88	chr11	115437171	115437740	+	8358	NA	Intergenic	B3A|SINE|B2	-3090	NM_001033775	432613	Mm.308822	NM_001033775	ENSMUSG00000070332	Trim80	4933422H20Rik|Trim47l	tripartite motif-containing 80	protein-coding
7.22-6	chr1	168099492	168102879	+	8357	NA	Intergenic	Lx8|LINE|L1	330984	NM_183355	18514	Mm.43358	NM_008783	ENSMUSG00000052534	Pbx1	2310056B04Rik|D230003C07Rik|Pbx-1	pre B cell leukemia homeobox 1	protein-coding
9.91-5	chr5	37861902	37863364	+	8356	NA	Intergenic	MIRc|SINE|MIR	-31139	NR_153822	102637176	Mm.332343	NR_153822		Gm20052	Gm34055	predicted gene, 20052	ncRNA
27.5-2	chr12	70531588	70533190	+	8355	NA	intron (NR_037248, intron 2 of 4)	intron (NR_037248, intron 2 of 4)	79235	NM_028339	72736	Mm.204670	NM_028339	ENSMUSG00000021072	Tmx1	2810425A04Rik|Txndc1	thioredoxin-related transmembrane protein 1	protein-coding
7.92-6	chr9	69588943	69589344	+	8354	NA	Intergenic	Intergenic	132199	NR_037296	100526560		NR_037296	ENSMUSG00000093042	Mir3109	mir-3109|mmu-mir-3109	microRNA 3109	ncRNA
5.98-24	chr3	133388506	133388768	+	8353	NA	Intergenic	Intergenic	78527	NM_146141	74776	Mm.210305	NM_146141	ENSMUSG00000028013	Ppa2	1110013G13Rik|Sid6306	pyrophosphatase (inorganic) 2	protein-coding
16.08-2	chrX	48167503	48170134	+	8352	NA	Intergenic	MER20B|DNA|hAT-Charlie	22382	NM_001313749	74131	Mm.276131	NM_028773	ENSMUSG00000031101	Sash3	1200013B08Rik|AW413946|SLY1	SAM and SH3 domain containing 3	protein-coding
15.88-2	chr9	49972293	49973193	+	8351	NA	Intergenic	Intergenic	-173350	NM_001311065	17967	Mm.4974	NM_010875	ENSMUSG00000039542	Ncam1	CD56|E-NCAM|NCAM-1|Ncam	neural cell adhesion molecule 1	protein-coding
7.6-5	chr1	38005812	38007130	+	8350	NA	intron (NM_198303, intron 1 of 23)	intron (NM_198303, intron 1 of 23)	8461	NM_198303	226982	Mm.260943	NM_198303	ENSMUSG00000026083	Eif5b	A030003E17Rik|BC018347|IF2	eukaryotic translation initiation factor 5B	protein-coding
11.15-3	chr3	89522904	89525498	+	8349	NA	intron (NM_080466, intron 1 of 7)	intron (NM_080466, intron 1 of 7)	4037	NM_080466	140493	Mm.120250	NM_080466	ENSMUSG00000000794	Kcnn3	KCa2.3|SK3|SKCA3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	protein-coding
22.04	chr7	24761853	24762321	+	8348	NA	Intergenic	B2_Mm2|SINE|B2	-1776	NM_026862	68891	Mm.292848	NM_026862	ENSMUSG00000052212	Cd177	1190003K14Rik|Pdp3	CD177 antigen	protein-coding
20.27-2	chr3	27204460	27205218	+	8347	NA	intron (NM_178772, intron 1 of 4)	intron (NM_178772, intron 1 of 4)	21835	NM_178772	320024	Mm.24576	NM_178772	ENSMUSG00000027698	Nceh1	Aadacl1|B230106I24Rik|CPO-BP|Nceh	neutral cholesterol ester hydrolase 1	protein-coding
9.92-6	chr1	104904349	104904706	+	8346	NA	intron (NM_011800, intron 1 of 11)	intron (NM_011800, intron 1 of 11)	136007	NM_011800	23836	Mm.103640	NM_011800	ENSMUSG00000050840	Cdh20	Cdh7	cadherin 20	protein-coding
8.16-6	chr11	97560811	97562333	+	8345	NA	intron (NM_018873, intron 1 of 19)	ID_B1|SINE|B4	13554	NM_018873	56013	Mm.342665	NM_018873	ENSMUSG00000038453	Srcin1	P140|SNIP|mKIAA1684|p140Cap	SRC kinase signaling inhibitor 1	protein-coding
6.06-8	chr18	55799617	55799986	+	8344	NA	Intergenic	Intergenic	-600539	NM_001360917	107022	Mm.24356	NM_026240	ENSMUSG00000001700	Gramd3	9030613F08Rik|9130427A09Rik|AW061306|Gramd2b|NS3TP2	GRAM domain containing 3	protein-coding
10.99-3	chr7	73267315	73268389	+	8343	NA	Intergenic	B4A|SINE|B4	-42528	NR_105062	100505025	Mm.387218	NR_105062	ENSMUSG00000108530	4930429H19Rik	-	RIKEN cDNA 4930429H19 gene	ncRNA
9.96-3	chr5	71962000	71962436	+	8342	NA	intron (NM_001370968, intron 5 of 9)	Lx7|LINE|L1	205971	NM_001356611	27784	Mm.44223	NM_178599	ENSMUSG00000029213	Commd8	C77770|D5Buc26e	COMM domain containing 8	protein-coding
7.31-8	chr12	86530574	86531133	+	8341	NA	Intergenic	Intergenic	109209	NM_011934	26380	Mm.235550	NM_011934	ENSMUSG00000021255	Esrrb	Err2|Errb|Estrrb|Nr3b2	estrogen related receptor, beta	protein-coding
6.86-8	chr2	154064692	154072963	+	8340	NA	Intergenic	B2_Mm2|SINE|B2	60551	NM_008953	19194	Mm.29197	NM_008953	ENSMUSG00000042459	Bpifa2	Bpifa2e|Psp	BPI fold containing family A, member 2	protein-coding
17.69-6	chr19	14369926	14370668	+	8339	NA	Intergenic	Intergenic	65653	NR_152176	667433	Mm.128913	NR_152176		Gm8630	EG667433	predicted gene 8630	ncRNA
23.57-3	chr5	146354250	146355322	+	8338	NA	Intergenic	Intergenic	-30220	NM_145155	245880	Mm.472750	NM_145155	ENSMUSG00000029636	Wasf3	Scar3|Wave3	WAS protein family, member 3	protein-coding
6.45-7	chr11	10398657	10399367	+	8337	NA	Intergenic	Intergenic	-715004	NM_177033	319922	Mm.337851	NM_177033	ENSMUSG00000050830	Vwc2	A930041G11Rik|G11|PSST739|UNQ739|cradin	von Willebrand factor C domain containing 2	protein-coding
5.98-23	chr9	108596557	108597228	+	8336	NA	intron (NR_151688, intron 2 of 9)	intron (NR_151688, intron 2 of 9)	720	NM_028944	74443	Mm.226534	NM_028944	ENSMUSG00000006675	P4htm	4933406E20Rik|AI853847|BB128974|HIF-PH4|HPH-4|P4H-TM|Ph-4	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)	protein-coding
8.02-12	chr2	170824363	170825095	+	8335	NA	intron (NM_029761, intron 2 of 7)	intron (NM_029761, intron 2 of 7)	92922	NM_001163686	76829	Mm.41633	NM_029761	ENSMUSG00000027560	Dok5	2700055C10Rik	docking protein 5	protein-coding
21.67	chr1	16957230	16957866	+	8334	NA	Intergenic	Intergenic	140341	NM_020604	57339	Mm.143761	NM_020604	ENSMUSG00000042686	Jph1	JP-1|Jp1	junctophilin 1	protein-coding
5.52-4	chr1	63158582	63167598	+	8333	NA	intron (NM_145518, intron 8 of 18)	B4|SINE|B4	13732	NM_001160039	227197	Mm.290791	NM_145518	ENSMUSG00000025968	Ndufs1	5830412M15Rik|9930026A05Rik	NADH:ubiquinone oxidoreductase core subunit S1	protein-coding
5.94-14	chr3	24175274	24177044	+	8332	NA	intron (NM_001326288, intron 7 of 13)	intron (NM_001326288, intron 7 of 13)	607847	NM_001326288	635702	Mm.448351	NM_001326288	ENSMUSG00000102758	Naaladl2	2810043G22Rik|EG635702|Gm1021	N-acetylated alpha-linked acidic dipeptidase-like 2	protein-coding
7.46-4	chr5	119628198	119630128	+	8331	NA	intron (NR_046178, intron 1 of 3)	intron (NR_046178, intron 1 of 3)	3221	NR_046178	330183	Mm.413133	NR_046178	ENSMUSG00000085708	Gm16063	G630008E18	predicted gene 16063	ncRNA
8.82-4	chr12	48382997	48383459	+	8330	NA	Intergenic	L1_Mus1|LINE|L1	-999655	NM_001160112	15228	Mm.4704	NM_008241	ENSMUSG00000020950	Foxg1	2900064B05Rik|BF-1|Bf1|Hfh9|Hfhbf1	forkhead box G1	protein-coding
15.81-4	chr15	100488761	100489535	+	8329	NA	intron (NM_153407, intron 2 of 4)	intron (NM_153407, intron 2 of 4)	6091	NM_153407	207785	Mm.294969	NM_153407	ENSMUSG00000044636	Csrnp2	CSRNP-2|Csnrp2|taip-12	cysteine-serine-rich nuclear protein 2	protein-coding
6.41-11	chr14	118709906	118713490	+	8328	NA	Intergenic	Intergenic	-5479	NM_001033336	239273	Mm.40537	NM_001033336	ENSMUSG00000032849	Abcc4	ABCC4-N1|D630049P08Rik|MOATB|MRP4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	protein-coding
9.88-9	chr5	75748017	75748925	+	8327	NA	Intergenic	Intergenic	173480	NM_021099	16590	Mm.247073	NM_021099	ENSMUSG00000005672	Kit	Bs|CD117|Fdc|Gsfsco1|Gsfsco5|Gsfsow3|SCO1|SCO5|SOW3|Ssm|Tr-kit|W|c-KIT	KIT proto-oncogene receptor tyrosine kinase	protein-coding
7.84-12	chr3	137731081	137731408	+	8326	NA	Intergenic	Lx8|LINE|L1	52371	NR_105801	102466638		NR_105801	ENSMUSG00000099011	Mir6380	Gm27356|mmu-mir-6380	microRNA 6380	ncRNA
6.07-10	chr6	118535394	118537058	+	8325	NA	intron (NM_001081112, intron 15 of 33)	intron (NM_001081112, intron 15 of 33)	26045	NM_001081112	232339	Mm.276116	NM_001081112	ENSMUSG00000007827	Ankrd26	5730521P14Rik|BC008111|mKIAA1074	ankyrin repeat domain 26	protein-coding
5.81-4	chr5	112218143	112219408	+	8324	NA	non-coding (NR_003718, exon 7 of 7)	non-coding (NR_003718, exon 7 of 7)	10173	NR_003718	330166	Mm.44854	NR_003718	ENSMUSG00000097767	Miat	3632434I06|A230057G18Rik|Rncr2|gomafu	myocardial infarction associated transcript (non-protein coding)	ncRNA
22.53	chr17	80161529	80162092	+	8323	NA	intron (NM_176963, intron 4 of 6)	RLTR20B4_MM|LTR|ERVK	33158	NR_162791	114483355		NR_162791		Mir12189	mmu-mir-12189	microRNA mir-12189	ncRNA
7.76-8	chr1	51952325	51952701	+	8322	NA	Intergenic	RMER1B|Other|Other	-34635	NM_001308266	20849	Mm.1550	NM_011487	ENSMUSG00000062939	Stat4	-	signal transducer and activator of transcription 4	protein-coding
29.89-3	chr3	57899038	57899405	+	8321	NA	Intergenic	Intergenic	-51464	NM_019410	18645	Mm.271744	NM_019410	ENSMUSG00000027805	Pfn2	Pfn	profilin 2	protein-coding
6.55-12	chr3	154395991	154405757	+	8320	NA	Intergenic	Intergenic	70053	NR_040387	99686	Mm.38082	NR_040387	ENSMUSG00000093738	AI606473	-	expressed sequence AI606473	ncRNA
6.84-5	chr12	104019792	104024499	+	8319	NA	Intergenic	MTB_Mm|LTR|ERVL-MaLR	-8493	NM_001361910	71907	Mm.326723	NM_027997	ENSMUSG00000058260	Serpina9	2310014L03Rik|AW049635|Centerin	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	protein-coding
7.06-6	chr10	76982283	76983958	+	8318	NA	Intergenic	Intergenic	-21173	NM_021568	59093	Mm.272803	NM_021568	ENSMUSG00000001120	Pcbp3	AlphaCP-3	poly(rC) binding protein 3	protein-coding
39.05	chr7	28273076	28273368	+	8317	NA	Intergenic	B3|SINE|B2	-4484	NM_001177427	434156	Mm.118535	NM_001177427	ENSMUSG00000070705	Eid2b	3010005C08Rik	EP300 interacting inhibitor of differentiation 2B	protein-coding
